Epoch	TotalEnvInteracts	worker/CostLimit	worker/noise	learner/VVals	learner/CostVVals	worker/EpRet	worker/EpLen	worker/EpCost	learner/LossQ	learner/LossQC	learner/StopIter	learner/LossPi	learner/Lagrangian	learner/QcRet	learner/KL	learner/Entropy	learner/ClipFrac	learner/LossQcPenalty	learner/LossVallina	learner/LossKLAdv	learner/LossVC	learner/LossV	Eval/NaturalReward	Eval/NaturalCost	Eval/AdvUniformReward	Eval/AdvUniformCost	worker/Epoch	worker/Time
0	80000	1.5	0.0	0.0059754183	-0.11591515	-1720.3665	1219.0	463.84384	1.7240055	0.0058838516	5.0	9.376031	47.78236	36.378914	0.022010367	0.92144483	0.3128	456.64334	-0.0040973993	6.8128115e-06	1382.9072	17557.94	-1485.759	462.1704	-1485.8058	462.16864	0.0	44.184116
1	160000	1.5	0.0	-72.42894	38.97766	-1520.1868	1219.0	458.0083	0.9462018	0.0010659447	5.0	-0.07321548	48.106674	38.90335	0.021441955	0.92378724	0.3132375	-3.7799747	0.0019500202	1.5163286e-05	16.16933	2743.3467	-1273.6703	454.7543	-1273.6388	454.75357	1.0	88.23842
2	240000	1.5	0.0023027735	-115.6498	38.601345	-1325.5488	1219.0	448.99384	0.8335533	0.00040161522	5.0	-0.14566743	48.53808	38.408363	0.019461645	0.92621994	0.2993625	-7.4103413	-7.726263e-05	2.3768518e-05	7.4477468	377.69366	-1065.8635	440.84836	-1065.5991	440.80322	2.0	135.18068
3	320000	1.5	0.004252031	-105.69365	38.240257	-1147.9275	1219.0	437.4243	0.76428115	0.0001725052	5.0	-0.28772122	48.699837	37.61611	0.017981282	0.92821974	0.2907375	-14.508376	-0.006881845	3.0139368e-05	7.6275587	325.9098	-861.0553	420.98495	-861.1654	421.01862	3.0	179.80542
4	400000	1.5	0.0059020403	-91.93967	37.45083	-990.7798	1219.0	424.0122	0.72173566	0.00014863876	5.0	-0.36872065	48.61537	36.6051	0.01651341	0.928584	0.2602625	-18.475573	-0.011618899	3.1666328e-05	10.061322	265.38092	-677.5907	387.55038	-677.43097	387.44766	4.0	224.76778
5	480000	1.5	0.0072987443	-79.018616	36.35551	-848.79944	1219.0	405.534	0.6724807	0.0001703589	6.0	-0.48003495	47.9657	35.10988	0.017683616	0.92789745	0.283675	-23.773262	-0.012662149	2.7267191e-05	14.3943205	224.71852	-501.9238	311.56134	-501.97272	311.48532	5.0	269.10245
6	560000	1.5	0.008481027	-67.019745	34.48395	-712.4887	1219.0	373.11835	0.62635195	0.00019961855	8.0	-0.6809896	45.849503	32.472614	0.017448792	0.92551523	0.2785125	-32.348778	-0.01152817	1.6561562e-05	22.764856	177.12358	-378.0572	129.56882	-378.26102	129.68361	6.0	313.93774
7	640000	1.5	0.009481809	-56.183357	31.32249	-597.0271	1219.0	328.2666	0.5511818	0.00022503598	15.0	-0.82123154	42.357574	28.693228	0.015716204	0.9159719	0.2122125	-35.891	-0.013628042	3.3007834e-06	28.892525	124.000465	-249.86859	63.109562	-249.86404	63.147972	7.0	360.0763
8	720000	1.5	0.010328949	-46.225292	25.319798	-495.70355	1219.0	234.30043	0.4413426	0.00024967658	149.0	-1.2946284	33.677544	20.645647	0.011867728	0.8216095	0.0962125	-45.179367	-0.013671423	6.877166e-09	39.93157	63.048576	-69.49251	303.34583	-69.61782	303.09543	8.0	432.68646
9	800000	1.5	0.011046043	-39.135616	16.73499	-424.9217	1219.0	140.69304	0.33653623	0.0002244912	149.0	-1.193756	24.812727	12.171577	0.006910907	0.7404147	0.0626625	-30.897003	-0.008171588	2.2497165e-10	30.5337	35.56783	-45.210434	325.80597	-45.238693	325.7871	9.0	505.28976
