Epoch	TotalEnvInteracts	worker/CostLimit	worker/noise	learner/VVals	learner/CostVVals	worker/EpRet	worker/EpLen	worker/EpCost	learner/LossQ	learner/LossQC	learner/StopIter	learner/LossPi	learner/Lagrangian	learner/QcRet	learner/KL	learner/Entropy	learner/ClipFrac	learner/LossQcPenalty	learner/LossVallina	learner/LossKLAdv	learner/LossVC	learner/LossV	Eval/NaturalReward	Eval/NaturalCost	Eval/AdvUniformReward	Eval/AdvUniformCost	worker/Epoch	worker/Time
0	80000	1.5	0.0	0.039949615	0.042098287	-1853.5184	1219.0	466.58203	2.1645381	0.0055439253	5.0	9.3956175	48.07256	36.559658	0.016100971	0.91643137	0.24025	460.83774	-0.00506214	2.3987309e-06	1382.5276	20441.86	-1665.4631	466.5866	-1665.4207	466.58936	0.0	44.515755
1	160000	1.5	0.0	-59.952606	39.1144	-1682.153	1219.0	463.94846	1.0484191	0.0008577753	79.0	0.024773454	48.723625	39.377945	0.015148239	0.93153673	0.189225	1.2042019	0.0019527952	2.3211116e-05	7.1615915	5597.4688	-1501.7085	462.96085	-1501.6122	462.94302	1.0	103.32814
2	240000	1.5	0.0023027735	-126.159515	39.253876	-1537.6838	1219.0	458.9947	0.9084398	0.0003199758	4.0	-0.09086653	49.592743	39.191414	0.015689846	0.9325695	0.2415625	-4.7011204	-0.0023421159	2.401162e-05	2.820876	413.5312	-1317.2224	455.80045	-1317.0365	455.80316	2.0	147.3456
3	320000	1.5	0.004252031	-122.54644	39.05868	-1373.8859	1219.0	450.49948	0.8627216	0.00014362021	3.0	-0.20422722	50.0845	38.65322	0.017550942	0.9329014	0.2593875	-10.608747	-0.006500035	2.4801304e-05	3.3351269	337.93536	-1125.5767	443.24234	-1125.646	443.23233	3.0	191.1963
4	400000	1.5	0.0059020403	-110.636116	38.496807	-1205.2767	1219.0	439.53882	0.7941912	0.00013088134	3.0	-0.28397775	50.293747	37.846344	0.017521897	0.9329309	0.275725	-14.767662	-0.010187247	2.7129698e-05	4.9008436	302.5723	-927.0482	425.72083	-926.53845	425.64633	4.0	235.06552
5	480000	1.5	0.0072987443	-97.05028	37.60005	-1043.9548	1219.0	426.2372	0.7970635	0.0001397353	3.0	-0.32249224	50.247597	36.826794	0.016114803	0.9328508	0.25035	-16.7653	-0.013331331	2.8403774e-05	6.6353197	261.07706	-742.1086	398.0964	-742.2508	398.117	5.0	278.92297
6	560000	1.5	0.008481027	-84.10256	36.476738	-901.1103	1219.0	410.5781	0.71674293	0.00014358843	4.0	-0.3668589	49.90268	35.4779	0.022133362	0.93268865	0.3313125	-19.053846	-0.010635156	2.5871372e-05	7.765914	238.1777	-536.89667	327.701	-536.9144	327.83542	6.0	323.16742
7	640000	1.5	0.009481809	-71.72841	34.590244	-744.996	1219.0	382.36325	0.67210305	0.00019362726	5.0	-0.4788329	48.229866	33.12858	0.018954981	0.9312648	0.2962625	-23.93008	-0.011332387	1.7327184e-05	10.908237	233.95425	-391.19696	154.65337	-391.11166	154.46722	7.0	367.90552
8	720000	1.5	0.010328949	-58.8644	31.42537	-618.5512	1219.0	338.69598	0.58970815	0.00023185815	8.0	-0.5972824	44.879368	29.430868	0.015825365	0.9262486	0.2139	-27.757753	-0.012345966	5.4214966e-06	15.061746	155.61134	-264.56763	52.39746	-264.78018	52.301266	8.0	412.70807
9	800000	1.5	0.011046043	-48.16587	25.8098	-517.7904	1219.0	261.57684	0.48499975	0.00027743526	117.0	-0.8012568	37.998486	22.91473	0.015085921	0.83320516	0.12445	-31.642216	-0.013953287	4.8214783e-09	20.229992	69.81107	-38.177586	332.94827	-37.949966	333.06567	9.0	479.13586
10	880000	1.5	0.01165305	-40.54653	16.826809	-428.63522	1219.0	148.46634	0.35305572	0.00032066158	149.0	-1.0567421	27.19254	12.707186	0.008256759	0.7429607	0.073425	-29.903582	-0.008468819	1.5067646e-10	25.37904	46.422916	-7.807048	332.49573	-7.864247	332.49057	10.0	552.1947
11	960000	1.5	0.012166867	-34.82225	10.745922	-397.8382	1219.0	114.444275	0.31537208	0.0003663819	149.0	-0.34047413	24.167385	9.383672	0.0073234527	0.65942925	0.065275	-8.638171	-0.008097233	1.1406712e-11	7.7273345	21.581762	-5.8991075	332.66443	-5.9025116	332.66364	11.0	625.18585
12	1040000	1.5	0.012601807	-31.96554	7.4846554	-368.89313	1219.0	84.201416	0.2766022	0.00047120993	149.0	-0.17617615	21.384441	6.7819304	0.006879763	0.57885545	0.061125	-4.012249	-0.0073941695	3.8260584e-12	5.238913	17.428965	-4.990776	332.74557	-4.9619827	332.74866	12.0	700.133
13	1120000	1.5	0.012969971	-29.578838	5.2125783	-339.56076	1219.0	60.475338	0.24145183	0.00036577057	149.0	-0.086063474	19.2177	4.8569775	0.0063696518	0.4998765	0.0602	-1.7922987	-0.008171463	6.599869e-12	4.1165338	13.344753	-4.8823476	332.75418	-4.933073	332.75024	13.0	773.3331
14	1200000	1.5	0.0132816145	-27.339216	3.862032	-317.80328	1219.0	46.834778	0.21195059	0.00021780422	149.0	-0.027367853	17.976448	3.7172587	0.005978731	0.42189074	0.058225	-0.54745364	-0.007276964	1.681514e-11	3.1596696	11.616681	-5.1070886	332.73602	-5.0626755	332.738	14.0	846.4044
15	1280000	1.5	0.013545423	-25.469765	3.1092386	-296.146	1219.0	38.879333	0.18155226	0.00010643534	149.0	0.023441318	17.314283	3.177386	0.0051653367	0.35025072	0.0495375	0.41241837	-0.007186543	6.394449e-10	3.640904	9.834614	-9.204218	332.39755	-9.237539	332.398	15.0	919.41516
16	1360000	1.5	0.013768726	-23.75913	2.8903556	-278.50702	1219.0	36.071312	0.17271374	7.433265e-05	149.0	0.05570194	17.140764	3.097392	0.0033567168	0.29397798	0.029725	1.0030596	-0.006710796	2.0281955e-11	3.8924544	7.9741173	-5.6956177	332.68234	-5.593946	332.69403	16.0	992.442
17	1440000	1.5	0.013957752	-22.407595	3.0094285	-265.66003	1219.0	36.320763	0.15685344	4.957539e-05	149.0	0.06932872	17.251114	3.2766907	0.0013886394	0.25780347	0.008525	1.2651135	-0.0051794862	6.931246e-13	4.2479706	6.799221	-3.7790477	332.87347	-3.7829285	332.87134	17.0	1066.6044
18	1520000	1.5	0.014117749	-21.40159	3.270596	-257.58987	1219.0	37.146076	0.15105331	4.002151e-05	149.0	0.06793228	17.433943	3.538354	0.0028796918	0.20787051	0.022725	1.248089	-0.006068305	1.4009465e-12	4.1089664	6.1991854	-3.8340712	332.8632	-3.837369	332.86206	18.0	1139.6348
19	1600000	1.5	0.014253196	-20.739798	3.6340847	-246.06827	1219.0	40.337883	0.14513873	3.187408e-05	149.0	0.109286964	17.865189	4.0811367	0.002284154	0.25367975	0.0221375	2.044834	0.007566114	6.5415213e-13	4.5346584	6.016428	-3.4842527	332.91452	-3.5057204	332.9113	19.0	1212.9266
20	1680000	1.5	0.014367847	-19.893982	4.009629	-251.92535	1219.0	38.586357	0.16395646	2.9331402e-05	149.0	0.03919625	17.799084	4.162292	0.00061732164	0.22493982	0.0034875	0.737247	-0.004046301	4.0599777e-13	3.1012874	5.2465234	-3.4364717	332.91827	-3.4199862	332.92087	20.0	1285.987
21	1760000	1.5	0.014464887	-20.239513	4.188704	-249.14655	1219.0	39.21285	0.15655825	2.4617839e-05	149.0	0.06500017	17.972725	4.451707	3.0700292e-05	0.22113232	0.0	1.2337447	-0.0005379654	2.8683026e-12	3.2876468	5.1680293	-3.9654007	332.8434	-3.9551663	332.84613	21.0	1361.4854
