Epoch	TotalEnvInteracts	worker/CostLimit	worker/noise	learner/VVals	learner/CostVVals	worker/EpRet	worker/EpLen	worker/EpCost	learner/LossQ	learner/LossQC	learner/StopIter	learner/LossPi	learner/Lagrangian	learner/QcRet	learner/KL	learner/Entropy	learner/ClipFrac	learner/LossQcPenalty	learner/LossVallina	learner/LossVC	learner/LossV	Eval/NaturalReward	Eval/NaturalCost	Eval/AdvUniformReward	Eval/AdvUniformCost	worker/Epoch	worker/Time
0	80000	1.5	0.0	0.08373152	0.047062233	-1819.8579	1219.0	466.03638	2.1176486	0.006087734	4.0	9.382364	48.01288	36.526356	0.016075043	0.92092425	0.2432375	459.48184	0.02387015	1380.089	19699.197	-2001.1981	471.72012	-2001.2532	471.71985	0.0	43.201366
1	160000	1.5	0.0	-57.064754	38.77621	-1995.2971	1219.0	469.03754	1.2536618	0.00094635284	18.0	0.20964222	49.245262	39.670944	0.018559106	0.9133377	0.288175	10.472915	-0.00023420429	6.7056437	10377.156	-1800.4276	468.57697	-1800.4081	468.57642	1.0	87.50335
2	240000	1.5	0.0023027735	-149.20634	39.578472	-1804.7328	1219.0	465.6488	1.1836361	0.00039195767	7.0	-0.03205648	50.296444	39.658234	0.016726766	0.90952295	0.2625625	-1.7326254	-0.0012162297	1.829979	515.6809	-1609.8184	465.0021	-1609.7639	464.9986	2.0	133.41621
3	320000	1.5	0.004252031	-145.12529	39.59521	-1635.8019	1219.0	461.72223	1.0944186	0.0002461742	6.0	-0.10717963	51.269775	39.467186	0.01668157	0.9074355	0.2542625	-5.6850066	-0.0035095874	1.7418045	411.03442	-1424.1925	460.2376	-1424.1282	460.22784	3.0	179.19258
4	400000	1.5	0.0059020403	-132.67162	39.3966	-1458.4553	1219.0	455.89304	1.0593113	0.0002291156	6.0	-0.16862327	52.043804	39.10029	0.017874409	0.9067784	0.2984	-9.079851	-0.0054123267	2.4988976	370.9709	-1226.0308	452.1296	-1225.9452	452.1232	4.0	225.17538
5	480000	1.5	0.0072987443	-118.36621	38.98568	-1285.4668	1219.0	446.94153	0.9888228	0.00020831605	5.0	-0.24540274	52.482525	38.458603	0.016477644	0.90608215	0.258525	-13.292888	-0.010677949	3.9773512	321.39584	-1040.9159	438.87894	-1040.9076	438.89508	5.0	271.21683
6	560000	1.5	0.008481027	-104.195656	38.301025	-1123.2095	1219.0	435.9347	0.94217604	0.00017494142	5.0	-0.3046086	52.668747	37.580433	0.017429648	0.9050198	0.2773375	-16.549316	-0.012461621	5.7236485	284.53824	-846.3656	418.99872	-846.4902	418.9903	6.0	316.99356
7	640000	1.5	0.009481809	-90.569725	37.28955	-969.3588	1219.0	420.9706	0.8701428	0.0001817605	5.0	-0.35676095	52.4358	36.36807	0.016500292	0.9039584	0.2645625	-19.351679	-0.013157699	7.399911	254.75465	-666.36224	383.93277	-666.5511	383.94513	7.0	362.78726
8	720000	1.5	0.010328949	-77.59294	35.777893	-828.29785	1219.0	400.84055	0.8033614	0.00018217305	6.0	-0.37348068	51.63255	34.710392	0.01760008	0.9020147	0.292125	-20.052073	-0.012246555	7.682424	218.94548	-492.64362	302.91745	-492.77692	302.9497	8.0	408.65363
9	800000	1.5	0.011046043	-65.860725	33.536114	-704.4629	1219.0	371.65958	0.6758715	0.00021118698	7.0	-0.40611047	49.81574	32.205956	0.015904555	0.89911747	0.240375	-21.101324	-0.014788857	8.3001795	167.4358	-381.42957	133.0884	-381.47195	133.17065	9.0	454.61188
10	880000	1.5	0.01165305	-55.63655	29.97106	-594.9153	1219.0	325.0639	0.6212767	0.00027843233	13.0	-0.48882762	46.115673	28.238174	0.015917856	0.8907166	0.2213	-23.531878	-0.01368108	10.771181	105.01907	-253.11763	59.127026	-253.25058	59.124874	10.0	501.2618
11	960000	1.5	0.012166867	-46.5215	23.516657	-495.86505	1219.0	237.243	0.5350627	0.00037581444	140.0	-0.7562823	38.10086	20.621876	0.015002241	0.7924184	0.110325	-29.95875	-0.014798145	16.379694	62.83213	-25.11854	333.56302	-25.396458	333.69025	11.0	558.3804
12	1040000	1.5	0.012601807	-39.007286	14.299928	-413.43246	1219.0	127.249626	0.39205638	0.0004214878	149.0	-0.90910035	27.575497	10.652589	0.00777526	0.7078324	0.068575	-26.058784	-0.00775878	20.098705	41.480713	-6.213718	332.63397	-6.2527785	332.63232	12.0	616.2825
13	1120000	1.5	0.012969971	-33.687664	8.54513	-380.43195	1219.0	94.37235	0.32755905	0.0005187221	149.0	-0.22619705	24.577805	7.586844	0.0070854034	0.62717336	0.0623875	-5.8548055	-0.0076332823	4.8066363	20.730158	-5.1723003	332.73206	-5.1793175	332.73062	13.0	674.3666
14	1200000	1.5	0.0132816145	-30.814585	6.1802244	-355.35068	1219.0	73.95881	0.2801926	0.00047161322	149.0	-0.06047828	22.76251	5.8992786	0.006613958	0.54842716	0.05965	-1.4854841	-0.007581308	3.7206945	15.615014	-4.543168	332.78378	-4.5354915	332.784	14.0	732.4503
15	1280000	1.5	0.013545423	-28.541931	4.478547	-330.10608	1219.0	52.410244	0.25572014	0.00037712694	149.0	-0.05506874	20.77679	4.2251806	0.0060061403	0.4707356	0.0568	-1.2341784	-0.0070350836	3.5326574	12.295847	-4.245382	332.81107	-4.2444015	332.8117	15.0	790.51764
16	1360000	1.5	0.013768726	-26.692738	3.5751078	-308.56042	1219.0	44.031487	0.21331663	0.0002635538	149.0	0.012892209	20.065308	3.5981836	0.005485907	0.39795095	0.052525	0.24539775	-0.005943269	3.3026903	11.379608	-170.57613	249.95277	-170.35985	250.17035	16.0	848.463
