Epoch	TotalEnvInteracts	worker/CostLimit	worker/noise	learner/VVals	learner/CostVVals	worker/EpRet	worker/EpLen	worker/EpCost	learner/LossQ	learner/LossQC	learner/StopIter	learner/LossPi	learner/Lagrangian	learner/QcRet	learner/KL	learner/Entropy	learner/ClipFrac	learner/LossQcPenalty	learner/LossVallina	learner/LossKLAdv	learner/LossVC	learner/LossV	Eval/NaturalReward	Eval/NaturalCost	Eval/AdvUniformReward	Eval/AdvUniformCost	worker/Epoch	worker/Time
0	80000	1.5	0.0	0.039949615	0.042098287	-1853.5184	1219.0	466.58203	2.1645381	0.0055439253	5.0	9.3956175	48.07256	36.559658	0.016103776	0.91643137	0.2403625	460.8379	-0.0050603193	4.533146e-07	1382.5276	20441.86	-1665.4376	466.58453	-1665.4392	466.58014	0.0	44.797035
1	160000	1.5	0.0	-59.933613	39.101757	-1682.3181	1219.0	463.30646	1.0532429	0.00088286604	7.0	0.016100222	48.65379	39.34797	0.018495316	0.91487205	0.2800375	0.7882541	-0.0017894594	1.0895678e-05	7.211662	5620.49	-1467.4445	461.66562	-1467.3777	461.65936	1.0	90.53324
2	240000	1.5	0.0023027735	-126.25184	39.21242	-1509.9521	1219.0	457.51382	0.8807634	0.0003471051	7.0	-0.109581985	49.436176	39.110905	0.019643648	0.91474617	0.2807625	-5.702245	-0.0011234884	2.107699e-05	3.1277144	381.2941	-1272.8585	454.6957	-1272.8634	454.69547	2.0	136.0301
3	320000	1.5	0.004252031	-120.84854	39.020004	-1328.1982	1219.0	450.3174	0.83387583	0.00015188863	6.0	-0.19622785	50.06189	38.66502	0.01891707	0.9146147	0.2835625	-10.167799	-0.0045110043	3.0908763e-05	3.517706	383.6469	-1074.9502	441.72644	-1074.9844	441.7353	3.0	180.95117
4	400000	1.5	0.0059020403	-106.9811	38.47405	-1152.3722	1219.0	436.5812	0.74613416	0.00013569972	6.0	-0.34244254	50.0053	37.64711	0.01906387	0.91407585	0.3081625	-17.732431	-0.006938423	4.214031e-05	6.678509	329.27435	-867.11444	421.45255	-867.0773	421.45517	4.0	225.99869
5	480000	1.5	0.0072987443	-92.73579	37.438545	-987.0369	1219.0	422.26038	0.71642274	0.00014360077	6.0	-0.38524276	49.812714	36.48237	0.01770216	0.9134636	0.286925	-19.890188	-0.010987666	4.4818382e-05	9.178184	289.17343	-674.19934	385.62167	-674.04004	385.55408	5.0	271.02283
6	560000	1.5	0.008481027	-79.134834	36.059624	-844.7626	1219.0	402.4239	0.6560749	0.00015725312	7.0	-0.43877134	49.055748	34.87448	0.019718943	0.91251844	0.3054375	-22.360374	-0.010693108	4.074021e-05	11.388851	232.97772	-493.8585	303.45477	-493.8527	303.44568	6.0	316.36224
7	640000	1.5	0.009481809	-66.786385	33.904984	-702.22485	1219.0	370.10645	0.6076108	0.00021202579	9.0	-0.5720154	46.914646	32.142803	0.01718962	0.9104203	0.28315	-27.909857	-0.010976123	2.530177e-05	15.177542	198.2293	-368.5923	119.08024	-368.66635	118.95784	7.0	362.0092
8	720000	1.5	0.010328949	-55.35578	30.313635	-588.82086	1219.0	322.7512	0.5261939	0.0002594167	16.0	-0.6577515	43.152996	28.111794	0.015125514	0.90126604	0.201475	-29.420362	-0.013247492	5.687943e-06	18.212238	125.31653	-242.68271	76.32298	-242.78345	76.33023	8.0	409.14377
9	800000	1.5	0.011046043	-45.573063	23.742352	-491.9932	1219.0	230.49258	0.4532947	0.00029286765	149.0	-0.9695498	34.649452	20.15119	0.013460246	0.8019009	0.10135	-34.874294	-0.012990643	8.171896e-09	24.074308	57.22612	-33.317852	335.54703	-32.901714	335.777	9.0	482.92725
