Epoch	TotalEnvInteracts	worker/CostLimit	worker/noise	learner/VVals	learner/CostVVals	worker/EpRet	worker/EpLen	worker/EpCost	learner/LossQ	learner/LossQC	learner/StopIter	learner/LossPi	learner/Lagrangian	learner/QcRet	learner/KL	learner/Entropy	learner/ClipFrac	learner/LossQcPenalty	learner/LossVallina	learner/LossVC	learner/LossV	Eval/NaturalReward	Eval/NaturalCost	Eval/AdvUniformReward	Eval/AdvUniformCost	worker/Epoch	worker/Time
0	80000	1.5	0.0	0.08373152	0.047062233	-1819.8579	1219.0	466.03638	2.1176486	0.006087734	4.0	9.382364	48.01288	36.526356	0.016075043	0.92092425	0.2432375	459.48184	0.02387015	1380.089	19699.197	-2001.1981	471.72012	-2001.2532	471.71985	0.0	42.967976
1	160000	1.5	0.0	-57.064754	38.77621	-1995.2971	1219.0	469.03754	1.2536618	0.00094635284	18.0	0.20964222	49.245262	39.670944	0.018559106	0.9133377	0.288175	10.472915	-0.00023420429	6.7056437	10377.156	-1800.4276	468.57697	-1800.4081	468.57642	1.0	87.05613
2	240000	1.5	0.0023027735	-149.25679	39.603264	-1802.8711	1219.0	465.6239	1.1734987	0.0004024632	8.0	-0.039924435	50.290054	39.65279	0.016045643	0.9091415	0.2650375	-2.105625	0.00011431265	1.8008782	521.4714	-1610.6794	465.02548	-1610.6842	465.02393	2.0	238.36646
3	320000	1.5	0.004252031	-145.1715	39.673126	-1630.7183	1219.0	461.8949	1.121034	0.00024418283	6.0	-0.12449505	51.283733	39.47405	0.015886258	0.90688515	0.240125	-6.6198483	-0.0038295754	1.7579973	439.79535	-1430.6036	460.42865	-1430.5867	460.42624	3.0	389.3644
4	400000	1.5	0.0059020403	-132.26288	39.45703	-1463.2677	1219.0	455.58054	1.0408833	0.0002158009	6.0	-0.19387518	52.012386	39.0683	0.020667078	0.906207	0.31505	-10.480654	-0.005127608	2.5983396	337.53387	-1224.8794	452.0098	-1224.7699	451.9902	4.0	540.99036
5	480000	1.5	0.0072987443	-118.8807	39.013283	-1281.3112	1219.0	447.3517	0.9548788	0.00020034262	5.0	-0.2483149	52.52494	38.476925	0.017303012	0.9055539	0.2662375	-13.442441	-0.010970831	3.9411647	338.65976	-1036.82	438.4273	-1036.8058	438.41495	5.0	692.19525
6	560000	1.5	0.008481027	-104.07664	38.349026	-1116.9305	1219.0	435.94083	0.92460555	0.0001538943	5.0	-0.3217247	52.676598	37.56046	0.018203892	0.90444475	0.2830875	-17.4317	-0.012305275	5.755231	303.81332	-841.3686	418.32834	-841.4084	418.32816	6.0	843.66
7	640000	1.5	0.009481809	-90.09547	37.239525	-961.2464	1219.0	419.41357	0.8592542	0.00014564986	5.0	-0.37693524	52.282787	36.2274	0.01676531	0.9029342	0.2620125	-20.36965	-0.013312875	7.3402185	264.17288	-663.2329	383.05234	-663.00256	382.9438	7.0	995.2449
8	720000	1.5	0.010328949	-77.1199	35.630783	-818.7312	1219.0	398.04263	0.8031942	0.00015786456	6.0	-0.3982935	51.339794	34.470085	0.017385576	0.90028965	0.2811375	-21.252125	-0.012200465	7.9640546	215.5945	-492.8705	302.9671	-492.87808	303.0597	8.0	1146.745
9	800000	1.5	0.011046043	-65.27705	33.31313	-688.0506	1219.0	367.69736	0.67140734	0.00016453673	8.0	-0.4486929	49.416653	31.838629	0.01665773	0.8961535	0.2805875	-23.144474	-0.012126778	9.193372	185.11012	-370.80865	117.08636	-370.81314	117.16972	9.0	1298.8625
