Epoch	TotalEnvInteracts	worker/CostLimit	worker/noise	learner/VVals	learner/CostVVals	worker/EpRet	worker/EpLen	worker/EpCost	learner/LossQ	learner/LossQC	learner/StopIter	learner/LossPi	learner/Lagrangian	learner/QcRet	learner/KL	learner/Entropy	learner/ClipFrac	learner/LossQcPenalty	learner/LossVallina	learner/LossVC	learner/LossV	Eval/NaturalReward	Eval/NaturalCost	Eval/AdvUniformReward	Eval/AdvUniformCost	worker/Epoch	worker/Time
0	80000	1.5	0.0	0.044043947	-0.025230868	-1880.5641	1219.0	467.7595	2.2547498	0.007139218	5.0	9.433151	48.189274	36.613464	0.020049023	0.9164323	0.2983625	463.8225	-0.0029413379	1391.1873	21004.785	-1673.0168	466.334	-1672.9971	466.33572	0.0	42.925396
1	160000	1.5	0.0	-60.23182	39.529705	-1683.2698	1219.0	463.13687	1.031938	0.0015298768	5.0	-0.09261167	48.64227	39.342354	0.015293657	0.91466814	0.25255	-4.7786703	-0.0025089253	8.939597	5624.822	-1486.0319	462.0002	-1485.9116	461.9933	1.0	86.00101
2	240000	1.5	0.0023027735	-126.374275	39.255573	-1513.1017	1219.0	457.74988	0.89629763	0.00085616764	5.0	-0.116465345	49.470757	39.118385	0.015321272	0.9137324	0.2480875	-6.058057	-0.0020961794	3.5167534	413.7218	-1304.2859	455.94974	-1304.2593	455.9481	2.0	237.73529
3	320000	1.5	0.004252031	-121.10681	39.085938	-1355.5559	1219.0	450.88022	0.90648663	0.00055175024	5.0	-0.20729831	50.1165	38.692505	0.01587755	0.9134407	0.244975	-10.765728	-0.0054518343	3.7691574	339.6743	-1123.1129	445.36624	-1123.1194	445.40237	3.0	389.51053
4	400000	1.5	0.0059020403	-109.21693	38.621788	-1197.9619	1219.0	440.84476	0.81631356	0.00042653302	5.0	-0.29431438	50.430485	37.96253	0.01633956	0.91322815	0.248125	-15.338366	-0.009485477	5.5285068	289.78204	-940.807	429.4063	-940.4635	429.38803	4.0	541.61456
5	480000	1.5	0.0072987443	-96.5012	37.860767	-1035.8184	1219.0	428.4537	0.80201834	0.00034378516	6.0	-0.36395103	50.479782	36.97825	0.020581448	0.91297823	0.3201125	-18.948542	-0.0099494625	7.987661	281.20026	-731.4948	400.05725	-731.30927	400.0038	5.0	692.93787
6	560000	1.5	0.008481027	-82.99511	36.699852	-879.6344	1219.0	408.47586	0.6931675	0.00026064581	6.0	-0.49247238	49.707413	35.376534	0.016850727	0.9124871	0.2707875	-25.312094	-0.012498557	13.104589	247.70297	-554.1605	341.76852	-554.2731	341.93134	6.0	845.06824
7	640000	1.5	0.009481809	-70.30504	34.879887	-747.3772	1219.0	381.94794	0.66903275	0.00022439717	7.0	-0.5933032	48.205463	33.166416	0.015610996	0.9114036	0.248775	-29.63499	-0.013883507	18.596466	190.64302	-424.10498	201.58205	-424.1954	201.63968	7.0	995.9888
8	720000	1.5	0.010328949	-59.34426	32.188816	-635.46094	1219.0	346.4611	0.60184175	0.00021180969	11.0	-0.65262026	45.680916	30.130913	0.015858047	0.9065694	0.2348	-30.840435	-0.013918358	19.647839	135.78653	-307.63287	45.862694	-307.67856	45.87557	8.0	1148.1852
9	800000	1.5	0.011046043	-49.682854	27.361116	-530.9101	1219.0	280.03363	0.517921	0.0001881567	89.0	-0.8345508	39.867718	24.415855	0.015046437	0.8455133	0.149225	-34.51894	-0.015176744	22.30904	79.257515	-81.587006	293.43417	-80.78769	293.80124	9.0	1307.0144
