Epoch	TotalEnvInteracts	worker/CostLimit	worker/noise	learner/VVals	learner/CostVVals	worker/EpRet	worker/EpLen	worker/EpCost	learner/LossQ	learner/LossQC	learner/StopIter	learner/LossPi	learner/Lagrangian	learner/QcRet	learner/KL	learner/Entropy	learner/ClipFrac	learner/LossQcPenalty	learner/LossVallina	learner/LossVC	learner/LossV	Eval/NaturalReward	Eval/NaturalCost	Eval/AdvUniformReward	Eval/AdvUniformCost	worker/Epoch	worker/Time
0	80000	1.5	0.0	0.08373152	0.047062233	-1819.8579	1219.0	466.03638	2.1176486	0.006087734	4.0	9.382364	48.01288	36.526356	0.016075043	0.92092425	0.2432375	459.48184	0.02387015	1380.089	19699.197	-2001.1981	471.72012	-2001.2532	471.71985	0.0	42.97087
1	160000	1.5	0.0	-57.064754	38.77621	-1995.2971	1219.0	469.03754	1.2536618	0.00094635284	18.0	0.20964222	49.245262	39.670944	0.018559106	0.9133377	0.288175	10.472915	-0.00023420429	6.7056437	10377.156	-1800.4276	468.57697	-1800.4081	468.57642	1.0	87.022934
2	240000	1.5	0.0023027735	-149.21701	39.57891	-1807.7625	1219.0	466.0734	1.1609087	0.00039618136	7.0	-0.026029587	50.32471	39.672127	0.019253239	0.9109707	0.2948375	-1.4673562	0.000674566	1.8204434	514.7875	-1595.9907	464.6785	-1595.9802	464.6743	2.0	237.67937
3	320000	1.5	0.004252031	-145.1717	39.59916	-1614.6604	1219.0	460.56622	1.1375849	0.00025960477	6.0	-0.12672605	51.15744	39.407265	0.01735019	0.91108704	0.278975	-6.7391453	-0.0031649414	1.9523553	453.3372	-1398.0968	459.42752	-1398.0454	459.42407	3.0	388.2971
4	400000	1.5	0.0059020403	-130.98405	39.253098	-1440.3442	1219.0	454.42416	1.0529563	0.00022990085	6.0	-0.16288118	51.882942	38.999126	0.020001458	0.912264	0.3003	-8.785997	-0.004914263	2.7370331	351.90475	-1198.4033	450.59024	-1198.3401	450.58112	4.0	539.4705
5	480000	1.5	0.0072987443	-117.34947	39.07531	-1260.3667	1219.0	446.1224	0.97345686	0.00023056877	5.0	-0.28642407	52.390846	38.407745	0.015944121	0.91241163	0.24665	-15.439139	-0.011477464	4.3852673	345.14246	-1016.09546	436.7783	-1016.1538	436.77243	5.0	690.283
6	560000	1.5	0.008481027	-102.279625	38.246296	-1099.3802	1219.0	434.25565	0.9323431	0.00019539655	5.0	-0.33255455	52.494175	37.428375	0.01546718	0.91173184	0.26215	-18.001013	-0.01248494	6.427096	296.3316	-827.6006	416.7404	-827.6552	416.74854	6.0	840.87177
7	640000	1.5	0.009481809	-88.54879	37.09053	-954.27783	1219.0	419.34174	0.8594116	0.0001947068	6.0	-0.33207414	52.255943	36.244373	0.020766178	0.90998554	0.322175	-18.034088	-0.010893438	6.949011	246.00835	-625.91254	372.70575	-625.846	372.65356	7.0	991.74615
8	720000	1.5	0.010328949	-76.00406	35.299324	-806.08453	1219.0	396.02942	0.7642125	0.0002743961	6.0	-0.35769862	51.114777	34.32758	0.015102023	0.9075308	0.2489	-19.019361	-0.01387641	8.337733	215.8368	-473.44116	283.06815	-473.4485	283.2389	8.0	1143.0077
9	800000	1.5	0.011046043	-64.19709	33.2052	-684.24133	1219.0	364.2598	0.7032658	0.00027007743	8.0	-0.47993156	49.044178	31.620085	0.015595291	0.9037704	0.2463375	-24.563889	-0.013518011	10.138462	159.444	-362.32736	103.17108	-362.3572	103.22224	9.0	1294.3728
10	880000	1.5	0.01165305	-53.820477	28.96005	-573.5898	1219.0	316.3238	0.591035	0.000329678	19.0	-0.43431234	45.190037	27.481462	0.015152217	0.88926697	0.2151875	-20.582394	-0.014604858	10.009954	114.315575	-230.76796	97.11889	-230.7316	97.289696	10.0	1446.3717
11	960000	1.5	0.012166867	-44.645542	22.727598	-481.8244	1219.0	215.97461	0.50457674	0.0008327753	149.0	-1.0344831	35.82193	18.769127	0.013971997	0.78794104	0.0986375	-38.332825	-0.013370132	24.868685	51.05485	-36.110012	330.13953	-35.817986	330.22336	11.0	1609.5586
12	1040000	1.5	0.012601807	-38.151157	13.55049	-410.88623	1219.0	129.55429	0.39092255	0.00060671207	149.0	-0.711535	27.624035	10.713179	0.0077282167	0.7036314	0.06715	-20.501778	-0.008603373	15.486392	36.270287	-6.9404984	332.5654	-6.9182763	332.5686	12.0	1772.4263
13	1120000	1.5	0.012969971	-33.127148	8.238692	-378.24643	1219.0	95.823814	0.31991714	0.0008709991	149.0	-0.10744643	24.594337	7.7928143	0.0066731423	0.6232949	0.0614625	-2.8095438	-0.007194353	4.4772577	19.1452	-5.5673566	332.69717	-5.5151215	332.69925	13.0	1935.3658
14	1200000	1.5	0.0132816145	-30.569994	6.788681	-352.2026	1219.0	71.69091	0.27906007	0.0008904692	149.0	-0.24433868	22.39019	5.800724	0.0063446267	0.5447177	0.058525	-5.751851	-0.0073774043	5.313573	15.027021	-5.3517494	332.71643	-5.4009867	332.71255	14.0	2098.0303
15	1280000	1.5	0.013545423	-28.150768	3.6678598	-327.67313	1219.0	50.922066	0.25548798	0.0007853235	149.0	0.10674435	20.475605	4.100587	0.006030189	0.46712828	0.0567875	2.2582152	-0.00750396	3.4254923	11.8358	-5.2811995	332.7224	-5.3158393	332.71762	15.0	2263.502
16	1360000	1.5	0.013768726	-26.455687	3.9539046	-305.36325	1219.0	40.892902	0.21785645	0.00060753257	149.0	-0.14491767	19.607336	3.33252	0.0058264686	0.39016676	0.056575	-3.021868	-0.007061654	4.98572	11.03014	-5.2108517	332.72815	-5.279586	332.7247	16.0	2426.4817
17	1440000	1.5	0.013957752	-24.533855	2.8461356	-284.13678	1219.0	36.47835	0.18989325	0.00031674159	127.0	0.050977595	19.25655	3.0561304	0.016558366	0.34388274	0.0425125	0.9953959	0.007699968	4.36578	9.42655	-206.24597	168.65457	-206.82466	168.60507	17.0	2587.7065
18	1520000	1.5	0.014117749	-23.03497	3.0662446	-292.8809	1219.0	38.222954	0.19127575	0.00038053922	149.0	0.060762092	19.54036	3.3202915	0.012010741	0.31325796	0.0286625	1.2180005	0.0015289476	2.987464	8.720657	-41.869816	330.80624	-41.90304	330.80286	18.0	2750.966
19	1600000	1.5	0.014253196	-23.382265	2.8680997	-272.6476	1219.0	35.9275	0.17823312	0.00039720436	149.0	0.11023547	19.410137	3.3425493	0.0009264184	0.28537798	0.003375	2.250385	-0.0038677522	4.0627294	8.445254	-38.815582	330.9078	-39.057526	330.90536	19.0	2913.9524
20	1680000	1.5	0.014367847	-22.208628	3.7400508	-263.20367	1219.0	36.47181	0.17636286	0.00045395092	149.0	-0.032557428	19.574806	3.6038694	0.0021998421	0.23694348	0.0200625	-0.6743814	-0.0055009495	4.566791	6.2641506	-17.447523	331.8583	-17.077087	331.8778	20.0	3076.828
21	1760000	1.5	0.014464887	-21.231222	3.6427624	-252.0679	1219.0	38.553596	0.15867409	0.00025501702	149.0	0.09254177	19.896946	4.043282	0.0012312626	0.2007184	0.008225	1.9337574	-0.004998928	4.919135	6.4578605	-24.424515	331.49313	-25.18408	331.4594	21.0	3240.1807
22	1840000	1.5	0.014547037	-20.39572	4.0874834	-245.57764	1219.0	40.2857	0.15885743	0.00022792611	149.0	0.0823188	20.16857	4.4390855	0.00015893631	0.20080042	0.0013375	1.7400172	0.0003665718	4.441593	5.2809024	-84.217224	322.05765	-83.91456	322.18378	22.0	3403.6848
23	1920000	1.5	0.014616577	-19.997213	4.5617537	-245.14113	1219.0	40.77872	0.16117816	0.00019686008	9.0	0.038719833	20.331984	4.7205873	0.020221354	0.1995078	0.018725	0.6984872	0.0070842644	3.8258965	4.9792128	-164.32565	242.06604	-164.66191	241.50864	23.0	3554.9448
24	2000000	1.5	0.014675439	-19.81016	4.632766	-255.31181	1219.0	40.073105	0.18738988	0.00016532795	3.0	0.044969335	20.375998	4.8170013	0.023955256	0.19914636	0.0208375	0.9374639	0.03627104	3.309479	8.69574	-213.5396	169.82246	-213.37335	169.06425	24.0	3705.424
25	2080000	1.5	0.014725265	-20.671955	4.70984	-272.1282	1219.0	38.597015	0.21083741	0.00032169186	64.0	-0.0030546843	20.341307	4.695167	0.016460508	0.19172755	0.038275	-0.10520636	0.020579034	2.510291	13.890605	-287.4273	133.98668	-288.9053	133.66023	25.0	3861.4812
26	2160000	1.5	0.014767439	-22.204592	4.820151	-273.296	1219.0	38.613472	0.20560011	0.00025869504	3.0	-0.015005522	20.45156	4.7551193	0.03560379	0.19166508	0.05615	-0.4303423	0.03383462	2.745032	12.384554	-302.55905	96.94699	-302.87244	96.73861	26.0	4012.7012
27	2240000	1.5	0.014803143	-22.241224	5.0190516	-281.12875	1219.0	37.179157	0.2201931	0.00031135237	1.0	-0.09016617	20.41624	4.6434755	0.017734582	0.19169211	0.051375	-1.9891225	0.020698829	2.3080065	16.440088	-309.52167	77.97417	-309.71185	78.04464	27.0	4164.1353
