Epoch	TotalEnvInteracts	worker/CostLimit	worker/noise	learner/VVals	learner/CostVVals	worker/EpRet	worker/EpLen	worker/EpCost	learner/LossQ	learner/LossQC	learner/StopIter	learner/LossPi	learner/Lagrangian	learner/QcRet	learner/KL	learner/Entropy	learner/ClipFrac	learner/LossQcPenalty	learner/LossVallina	learner/LossKLAdv	learner/LossVC	learner/LossV	Eval/NaturalReward	Eval/NaturalCost	Eval/AdvUniformReward	Eval/AdvUniformCost	worker/Epoch	worker/Time
0	80000	1.5	0.0	0.044043947	-0.025230868	-1880.5641	1219.0	467.7595	2.2547498	0.007139218	5.0	9.433152	48.189274	36.613464	0.020056048	0.9164323	0.2984375	463.8225	-0.002936718	1.5654826e-06	1391.1873	21004.785	-1672.9784	466.3335	-1673.0405	466.33276	0.0	44.543938
1	160000	1.5	0.0	-60.228973	39.527687	-1689.8718	1219.0	463.02026	1.076251	0.0014815283	6.0	-0.093414605	48.63108	39.343857	0.02069567	0.9158373	0.30345	-4.702718	-0.00027201956	7.818867e-06	8.852861	5699.0083	-1463.6641	461.24658	-1463.6912	461.24435	1.0	89.33593
2	240000	1.5	0.0023027735	-126.65945	39.182304	-1500.7554	1219.0	457.54593	0.9289913	0.00084395905	5.0	-0.10416338	49.440308	39.09988	0.015677312	0.915987	0.23855	-5.387732	-0.0023682911	1.4600408e-05	3.5915816	406.8086	-1284.6414	455.11597	-1284.5878	455.11835	2.0	133.82576
3	320000	1.5	0.004252031	-120.0421	39.00495	-1331.9365	1219.0	450.2071	0.8843256	0.0006047885	5.0	-0.1967299	50.04965	38.66461	0.015058084	0.9157554	0.24585	-10.197725	-0.005439314	2.1645075e-05	3.9673824	354.91205	-1102.0674	444.38116	-1102.069	444.39362	3.0	178.31003
4	400000	1.5	0.0059020403	-107.439285	38.56453	-1181.8309	1219.0	440.9465	0.7943317	0.00049106404	5.0	-0.27126667	50.442398	37.985493	0.015070669	0.9152993	0.2468375	-14.164069	-0.010435742	2.7385455e-05	5.4024744	284.52094	-919.5226	427.81525	-919.7372	427.82074	4.0	222.85573
5	480000	1.5	0.0072987443	-95.038574	37.8199	-1027.2179	1219.0	427.70734	0.8001297	0.0003928356	6.0	-0.36226898	50.393993	36.928146	0.020002268	0.914502	0.3172375	-18.852587	-0.010251184	3.0116653e-05	7.7675977	262.14194	-712.5076	396.67154	-712.6032	396.71912	5.0	267.64642
6	560000	1.5	0.008481027	-82.26363	36.5812	-873.33307	1219.0	407.64587	0.703465	0.00032455038	6.0	-0.46804667	49.593105	35.34395	0.016981231	0.91354465	0.2658625	-24.031483	-0.01209017	2.7426096e-05	12.652365	242.52057	-539.8768	334.73578	-539.7351	334.58804	6.0	312.47733
7	640000	1.5	0.009481809	-69.8034	34.821514	-742.22595	1219.0	381.72287	0.6574162	0.00027752924	8.0	-0.5732636	48.133846	33.165318	0.018537771	0.9120055	0.297525	-28.633972	-0.011822779	1.8337023e-05	17.423012	190.31177	-405.3375	165.7995	-405.33884	165.73232	7.0	357.68344
8	720000	1.5	0.010328949	-58.759556	31.979582	-617.74805	1219.0	338.09818	0.58873314	0.00020965244	13.0	-0.7732569	44.787148	29.499046	0.016286878	0.90618235	0.2368125	-35.784023	-0.014336043	5.9212593e-06	24.905504	142.9357	-285.4728	40.899986	-285.55566	40.901173	8.0	403.80316
9	800000	1.5	0.011046043	-48.364956	26.892235	-517.6672	1219.0	264.92566	0.47416878	0.00017376823	129.0	-1.0383375	38.283146	23.237919	0.015037703	0.82329744	0.12235	-41.102917	-0.014401691	2.131791e-08	31.276829	74.36507	-77.48503	296.81757	-77.646484	296.68372	9.0	473.23254
10	880000	1.5	0.01165305	-40.11806	17.670765	-424.2783	1219.0	139.51576	0.35173884	0.00021489777	149.0	-1.4453461	26.237091	12.124589	0.006689856	0.7413874	0.0639	-39.49579	-0.0088331355	2.7009173e-10	39.74995	46.16047	-26.582693	337.49878	-26.393566	337.45584	10.0	546.9905
11	960000	1.5	0.012166867	-34.659817	10.792043	-395.1986	1219.0	113.78129	0.311525	0.000300927	149.0	-0.3719547	24.054836	9.3686495	0.006433001	0.66234833	0.060175	-9.391325	-0.007974138	2.6026917e-11	8.598679	19.555637	-8.726729	332.431	-9.07963	332.43387	11.0	620.7225
12	1040000	1.5	0.012601807	-31.721682	7.4900117	-366.00992	1219.0	81.3491	0.27197236	0.000366703	149.0	-0.26149324	21.094545	6.453251	0.0063884296	0.5847066	0.0579375	-5.832092	-0.008173919	5.8329045e-12	6.1343946	15.147048	-7.0640273	332.55392	-7.0147405	332.55844	12.0	694.4972
13	1120000	1.5	0.012969971	-29.532896	5.286674	-342.77515	1219.0	63.530365	0.2503151	0.00020614969	149.0	-0.0710802	19.481153	4.967326	0.005721765	0.50782055	0.056025	-1.5015439	-0.00768602	9.1531956e-12	4.2990375	13.496636	-6.6835837	332.58823	-6.6441216	332.59406	13.0	768.5206
14	1200000	1.5	0.0132816145	-27.54038	3.9414165	-321.49457	1219.0	48.513275	0.2124284	8.0432554e-05	149.0	-0.016558204	18.136135	3.8445802	0.0062731947	0.43156534	0.0566625	-0.34238118	-0.0078062317	1.3110488e-12	3.6125348	10.691145	-5.002488	332.74466	-4.95247	332.75027	14.0	842.35565
15	1280000	1.5	0.013545423	-25.81178	3.0785406	-298.43997	1219.0	38.83599	0.18942164	5.3636042e-05	149.0	0.027720716	17.277071	3.1846128	0.004036997	0.3670802	0.0398625	0.4940749	-0.0069023413	4.8058963e-11	4.095031	10.697276	-6.44863	332.61057	-6.4677753	332.6085	15.0	916.1337
16	1360000	1.5	0.013768726	-24.021694	2.9107394	-281.59247	1219.0	37.065887	0.17344604	4.1274103e-05	149.0	0.083009735	17.21711	3.2482462	0.0022042226	0.32224676	0.01965	1.5064774	-0.0044633327	8.8651905e-07	4.28707	8.842529	-84.793785	298.15942	-85.53141	297.66565	16.0	991.87384
17	1440000	1.5	0.013957752	-22.682804	3.1102726	-274.82336	1219.0	35.705994	0.17144004	3.9550236e-05	51.0	0.052303378	17.16196	3.3215804	0.02289862	0.30522487	0.047225	0.9234226	0.009985555	9.4696305e-05	3.595443	7.1405907	-247.07492	154.64035	-246.67096	154.3402	17.0	1045.894
18	1520000	1.5	0.014117749	-22.170895	3.3193567	-280.5786	1219.0	34.214577	0.18115112	3.376903e-05	2.0	0.010528932	17.11295	3.360375	0.024487652	0.30457595	0.047675	0.15069485	0.02506277	0.00020676471	2.5602708	8.875451	-268.41388	119.49341	-269.37912	118.619995	18.0	1089.8113
