Epoch	TotalEnvInteracts	worker/CostLimit	worker/noise	learner/VVals	learner/CostVVals	worker/EpRet	worker/EpLen	worker/EpCost	learner/LossQ	learner/LossQC	learner/StopIter	learner/LossPi	learner/Lagrangian	learner/QcRet	learner/KL	learner/Entropy	learner/ClipFrac	learner/LossQcPenalty	learner/LossVallina	learner/LossVC	learner/LossV	Eval/NaturalReward	Eval/NaturalCost	Eval/AdvUniformReward	Eval/AdvUniformCost	worker/Epoch	worker/Time
0	80000	1.5	0.0	0.044043947	-0.025230868	-1880.5641	1219.0	467.7595	2.2547498	0.007139218	5.0	9.433151	48.189274	36.613464	0.020049023	0.9164323	0.2983625	463.8225	-0.0029413379	1391.1873	21004.785	-1673.0168	466.334	-1672.9971	466.33572	0.0	43.138103
1	160000	1.5	0.0	-60.23182	39.529705	-1683.2698	1219.0	463.13687	1.031938	0.0015298768	5.0	-0.09261167	48.64227	39.342354	0.015293657	0.91466814	0.25255	-4.7786703	-0.0025089253	8.939597	5624.822	-1486.0319	462.0002	-1485.9116	461.9933	1.0	86.827415
2	240000	1.5	0.0023027735	-126.11701	39.175644	-1508.1427	1219.0	457.45953	0.90521306	0.0008507987	6.0	-0.10350651	49.43417	39.09209	0.02127493	0.91374785	0.3297125	-5.4176354	0.0035513488	3.5677345	400.5522	-1268.3776	454.34033	-1268.6736	454.35016	2.0	130.1164
3	320000	1.5	0.004252031	-120.52571	38.990192	-1320.6978	1219.0	449.98083	0.886161	0.000565788	5.0	-0.19625562	50.028942	38.638187	0.015492232	0.9134864	0.247375	-10.155816	-0.005973669	3.6607063	385.44965	-1086.4072	442.60828	-1086.4148	442.60803	3.0	173.37794
4	400000	1.5	0.0059020403	-106.3205	38.47562	-1160.3396	1219.0	438.08862	0.8052987	0.0004546116	6.0	-0.3103233	50.146263	37.752712	0.021408185	0.91250235	0.32645	-16.123251	-0.007281781	5.8410645	294.00693	-869.936	421.81342	-869.99554	421.8375	4.0	216.73279
5	480000	1.5	0.0072987443	-93.333206	37.5413	-996.19934	1219.0	423.1994	0.75153506	0.00036364546	6.0	-0.3898097	49.92118	36.56941	0.020223899	0.9110757	0.3037875	-20.131184	-0.0107228905	9.024823	273.48514	-672.86865	385.69806	-672.9227	385.6171	5.0	260.25375
6	560000	1.5	0.008481027	-79.717316	36.218155	-845.35596	1219.0	402.82904	0.690305	0.0003055287	6.0	-0.4820231	49.10421	34.924397	0.01652117	0.9095878	0.249925	-24.440687	-0.013566734	13.510442	233.43053	-510.65164	316.0064	-511.00818	316.36563	6.0	303.66724
7	640000	1.5	0.009481809	-67.478065	34.39512	-722.92126	1219.0	377.41452	0.60950005	0.00024020599	8.0	-0.55958784	47.676216	32.793575	0.018431226	0.9066639	0.2667625	-27.51485	-0.012690495	17.827055	177.77895	-388.95212	145.24109	-388.91425	145.32964	7.0	347.24084
8	720000	1.5	0.010328949	-56.933273	31.361612	-598.18024	1219.0	326.62598	0.5514698	0.0001994051	15.0	-0.8652795	43.55411	28.543682	0.015953101	0.8978825	0.2348375	-39.090355	-0.012833471	29.42888	129.26283	-258.25067	55.335335	-258.3571	55.266632	8.0	392.17706
9	800000	1.5	0.011046043	-46.76291	25.541704	-500.12323	1219.0	242.83722	0.45430526	0.0001926788	149.0	-1.1728885	35.94228	21.351194	0.014213184	0.8033753	0.113375	-43.645058	-0.014089156	35.396347	64.10316	-41.2596	325.69012	-41.535297	325.60373	9.0	447.54965
10	880000	1.5	0.01165305	-39.091915	16.462803	-418.24844	1219.0	130.87238	0.33187923	0.00021571868	149.0	-1.3305559	25.251205	11.361343	0.006239321	0.7216515	0.062625	-35.032936	-0.007901422	35.544582	40.557583	-8.208614	332.46744	-8.263058	332.4649	10.0	502.9154
11	960000	1.5	0.012166867	-34.19896	9.97789	-388.8266	1219.0	103.355965	0.3080817	0.00032437235	149.0	-0.39156893	22.822596	8.477258	0.006887533	0.64285845	0.060025	-9.391347	-0.007711614	8.845184	19.754932	-6.8814254	332.57086	-6.8820167	332.57138	11.0	558.0909
12	1040000	1.5	0.012601807	-31.333319	6.9791126	-361.8776	1219.0	78.025116	0.2637855	0.00033647398	149.0	-0.20884709	20.513779	6.1483345	0.0068405527	0.5653333	0.05965	-4.5451336	-0.007830298	6.006181	15.994951	-6.0494814	332.6495	-6.1071486	332.6454	12.0	613.36554
13	1120000	1.5	0.012969971	-29.094156	5.020006	-337.00366	1219.0	60.3828	0.22571258	0.00022491002	149.0	-0.060737923	18.940413	4.7537017	0.006574013	0.48851255	0.0575625	-1.2533604	-0.0074389772	4.5067906	13.341341	-5.8817635	332.66687	-5.8969297	332.66745	13.0	668.62244
14	1200000	1.5	0.0132816145	-26.96735	3.786881	-314.9833	1219.0	46.34844	0.20044212	8.6123466e-05	149.0	-0.019618733	17.669617	3.6845293	0.004306875	0.42058995	0.0439875	-0.3811055	-0.00723217	3.6326013	11.001523	-5.4725475	332.70575	-5.4667683	332.70724	14.0	724.8661
15	1280000	1.5	0.013545423	-25.301529	3.217268	-297.33444	1219.0	40.066948	0.17679298	4.9282844e-05	149.0	0.022112584	17.163338	3.2903063	0.0051610027	0.35056207	0.0477625	0.38473302	-0.0067069726	3.4054577	9.633678	-35.58669	335.04282	-35.23197	334.93652	15.0	780.20935
16	1360000	1.5	0.013768726	-23.744379	2.895106	-276.2019	1219.0	36.307728	0.16062275	3.562732e-05	25.0	0.0683571	16.901056	3.1685903	0.015403623	0.3422678	0.052475	1.1864426	0.019707084	4.598882	9.248233	-271.14767	106.29509	-271.95096	106.757904	16.0	825.07416
17	1440000	1.5	0.013957752	-22.560362	3.3520777	-298.81226	1219.0	38.02742	0.19353017	3.659126e-05	3.0	0.008968458	17.185272	3.3729231	0.016559698	0.3412852	0.0605625	0.07568765	0.019753823	2.7287426	9.614136	-297.5644	57.463715	-297.57324	57.32358	17.0	868.31244
18	1520000	1.5	0.014117749	-24.094524	3.383518	-314.66895	1219.0	34.911186	0.23309056	4.602505e-05	2.0	-0.06761838	16.97471	3.0936832	0.020219577	0.34061715	0.062	-1.2420703	0.027059097	2.2760653	13.023538	-319.89236	30.6562	-319.64645	30.519808	18.0	911.3056
19	1600000	1.5	0.014253196	-25.487213	3.2008874	-332.94617	1219.0	33.136204	0.24453013	3.8819962e-05	149.0	-0.07710993	16.90422	2.872544	0.00830679	0.29509902	0.076675	-1.4095471	-0.009641196	2.3493302	19.437077	-256.43005	99.27372	-257.48724	99.26042	19.0	966.6541
