Epoch	TotalEnvInteracts	worker/CostLimit	worker/noise	learner/VVals	learner/CostVVals	worker/EpRet	worker/EpLen	worker/EpCost	learner/LossQ	learner/LossQC	learner/StopIter	learner/LossPi	learner/Lagrangian	learner/QcRet	learner/KL	learner/Entropy	learner/ClipFrac	learner/LossQcPenalty	learner/LossVallina	learner/LossKLAdv	learner/LossVC	learner/LossV	Eval/NaturalReward	Eval/NaturalCost	Eval/AdvUniformReward	Eval/AdvUniformCost	worker/Epoch	worker/Time
0	80000	1.5	0.0	0.08373152	0.047062233	-1819.8579	1219.0	466.03638	2.1176486	0.006087734	4.0	9.382365	48.01288	36.526356	0.016088296	0.9209232	0.243375	459.4817	0.023886459	2.9280483e-07	1380.089	19699.197	-2001.274	471.72156	-2001.2899	471.72092	0.0	45.040863
1	160000	1.5	0.0	-57.077793	38.78613	-1990.0305	1219.0	469.56067	1.241079	0.0009397479	14.0	0.21636294	49.299206	39.69489	0.015559154	0.92805666	0.2583375	10.77515	-0.0018342049	2.7347994e-08	6.7584724	10285.072	-1808.333	468.835	-1808.343	468.83548	1.0	92.37438
2	240000	1.5	0.0023027735	-148.6748	39.59882	-1810.9794	1219.0	466.2629	1.1838238	0.00037344304	8.0	-0.027368797	50.348648	39.6864	0.015049504	0.93102175	0.24145	-1.426075	-0.0007796429	2.1017759e-06	1.7658197	497.40134	-1621.499	465.26678	-1621.4735	465.2588	2.0	138.02528
3	320000	1.5	0.004252031	-145.3557	39.619167	-1640.4248	1219.0	462.1177	1.1466122	0.00026015268	8.0	-0.104431726	51.315403	39.496193	0.016564254	0.93180174	0.25925	-5.56662	-0.0038613197	8.2669485e-06	1.6952676	432.97205	-1427.1731	460.31918	-1427.3785	460.3248	3.0	184.62062
4	400000	1.5	0.0059020403	-132.94829	39.423176	-1468.3402	1219.0	456.3017	1.1116288	0.00022489604	7.0	-0.16728552	52.08752	39.133957	0.019991048	0.9329539	0.2985625	-9.039019	-0.005104585	1.4431894e-05	2.451414	352.9356	-1221.2382	451.95993	-1221.2172	451.94427	4.0	230.05518
5	480000	1.5	0.0072987443	-119.24881	39.00995	-1281.8097	1219.0	446.87988	1.0187442	0.00021917112	6.0	-0.25472888	52.47901	38.445286	0.019140791	0.9337025	0.3014625	-13.793691	-0.008680848	1.9518116e-05	4.0561914	351.11154	-1013.0228	436.4403	-1013.1791	436.45883	5.0	275.2441
6	560000	1.5	0.008481027	-104.03476	38.23966	-1104.8812	1219.0	434.3105	0.96883565	0.00018000088	6.0	-0.31881943	52.52608	37.458786	0.02113563	0.93230146	0.3243125	-17.323895	-0.010512688	4.219812e-05	5.9277906	332.7592	-792.74976	411.94638	-792.88086	411.91275	6.0	321.97934
7	640000	1.5	0.009481809	-89.13732	37.040462	-935.4722	1219.0	417.08542	0.8995063	0.00016695063	6.0	-0.35976002	52.04532	36.06679	0.019325243	0.93011767	0.3067	-19.410023	-0.0117410505	4.2495158e-05	6.834353	298.68057	-595.0222	360.31705	-594.97174	360.19818	7.0	367.23627
8	720000	1.5	0.010328949	-74.986694	35.299232	-792.0076	1219.0	393.2178	0.7676077	0.00016328995	6.0	-0.40680826	50.8403	34.065845	0.015169036	0.9269467	0.2327875	-21.496162	-0.014047075	3.4866625e-05	8.077695	222.30914	-454.79828	253.12941	-454.76492	253.08951	8.0	412.5211
9	800000	1.5	0.011046043	-62.915287	32.665226	-672.0605	1219.0	359.67593	0.6804929	0.0001582338	9.0	-0.44373494	48.521286	31.212982	0.0156769	0.92044735	0.25195	-22.526335	-0.013415103	1.8229392e-05	9.67318	151.42899	-337.9207	71.27749	-338.00812	71.12352	9.0	458.2746
10	880000	1.5	0.01165305	-52.893444	28.492054	-565.2275	1219.0	304.29993	0.608599	0.00021350678	28.0	-0.5655089	43.930313	26.460178	0.015236879	0.8956738	0.1840875	-25.959272	-0.01562103	7.9717466e-07	12.938755	98.92123	-188.64485	169.05351	-188.32437	169.4163	10.0	508.1759
11	960000	1.5	0.012166867	-43.677776	20.219254	-461.67526	1219.0	190.2906	0.48302108	0.000269774	149.0	-0.974311	33.156273	16.452242	0.011109401	0.7950755	0.089675	-33.50282	-0.009796482	6.3823027e-09	22.42701	55.851364	-32.800537	333.53812	-33.065746	333.58914	11.0	582.3903
12	1040000	1.5	0.012601807	-37.056305	12.880943	-414.81888	1219.0	128.09389	0.37133718	0.00031178351	149.0	-0.5388731	27.398506	10.736089	0.00752695	0.7107095	0.0674875	-15.386195	-0.008693071	4.1219322e-10	10.4184	25.924738	-7.293863	332.53653	-7.331372	332.53296	12.0	656.63727
13	1120000	1.5	0.012969971	-33.523026	8.653396	-379.895	1219.0	95.43975	0.33389184	0.00045681442	149.0	-0.21236116	24.420164	7.798507	0.0060604387	0.6302617	0.0605625	-5.4949584	-0.0077987853	6.5783684e-11	4.897739	20.769388	-5.9460096	332.66013	-5.922173	332.6618	13.0	731.1069
14	1200000	1.5	0.0132816145	-30.567308	6.2011824	-351.31555	1219.0	71.721146	0.28830257	0.0004232091	149.0	-0.07597682	22.30257	5.9143515	0.006326245	0.5515867	0.0582875	-1.8352783	-0.00755793	9.786164e-12	4.221247	15.219058	-4.626649	332.77618	-4.58061	332.7832	14.0	805.48083
15	1280000	1.5	0.013545423	-28.28476	4.7756324	-329.73645	1219.0	54.44318	0.25030664	0.00014627582	149.0	-0.07380283	20.710718	4.476913	0.006234244	0.47450688	0.0565875	-1.632277	-0.007438106	1.1991163e-12	3.006404	11.430353	-3.6759677	332.8953	-3.6737096	332.8943	15.0	879.81885
16	1360000	1.5	0.013768726	-26.534426	3.8706403	-312.90222	1219.0	46.16461	0.22833872	8.581276e-05	149.0	-0.013529537	20.01052	3.8091345	0.0061102924	0.3985775	0.05545	-0.31087032	-0.007795508	1.123463e-12	2.6313157	9.991105	-3.3301373	332.92697	-3.3067155	332.92792	16.0	954.5125
17	1440000	1.5	0.013957752	-24.982782	3.0210822	-287.824	1219.0	36.823643	0.18781583	7.136884e-05	149.0	0.028212648	19.204456	3.1459243	0.0015898885	0.35318756	0.0163875	0.5657799	-0.0056694616	1.3432067e-10	4.3310213	10.513702	-5.5532856	332.69778	-5.6402116	332.6889	17.0	1029.1918
18	1520000	1.5	0.014117749	-23.257029	3.006048	-278.52344	1219.0	36.07842	0.18272008	5.029825e-05	61.0	0.036037892	19.214058	3.1579723	0.02083132	0.33233026	0.044075	0.6856542	0.0162494	7.3200616e-05	3.4887052	7.3876452	-251.5217	130.95193	-251.17993	130.9745	18.0	1085.652
19	1600000	1.5	0.014253196	-22.62815	3.351412	-297.4112	1219.0	38.61083	0.20666401	4.4576744e-05	24.0	0.017840432	19.583197	3.4216938	0.015095758	0.3242943	0.0369	0.32124078	0.0031265677	3.9308087e-08	2.7755399	10.343375	-96.4633	307.01657	-96.356415	306.87363	19.0	1134.5585
20	1680000	1.5	0.014367847	-23.584583	3.182362	-271.94534	1219.0	35.156338	0.19276501	4.5176967e-05	149.0	0.041535184	19.341745	3.3723664	0.0018359402	0.27943566	0.016725	0.84062195	-0.005155655	1.745889e-09	4.3689947	9.223331	-68.12168	327.58237	-68.40716	327.64984	20.0	1209.0293
21	1760000	1.5	0.014464887	-21.96903	3.3620179	-262.02505	1219.0	36.44641	0.16971597	5.561097e-05	149.0	0.08007072	19.564085	3.6982355	0.0013456485	0.24217798	0.0093	1.6455988	-0.0049980194	4.2453893e-10	4.821018	6.5906773	-59.284595	334.27423	-59.04314	334.26852	21.0	1283.6394
22	1840000	1.5	0.014547037	-21.14034	3.7793698	-250.6354	1219.0	39.283813	0.1690149	2.3801424e-05	133.0	0.095300406	19.957212	4.1769967	0.02185687	0.21987769	0.0308875	1.9377625	0.007822235	0.00010231352	5.5766296	6.235673	-247.43738	195.1507	-246.1728	194.3602	22.0	1354.8466
23	1920000	1.5	0.014616577	-20.27519	4.1529803	-259.86224	1219.0	38.81775	0.17171349	1.9073295e-05	2.0	0.00859441	20.019104	4.189076	0.018793903	0.21954201	0.0359125	0.18096969	0.031775538	0.00022968423	4.4672656	7.9977283	-289.1491	126.77375	-284.54517	125.504585	23.0	1399.3359
24	2000000	1.5	0.014675439	-20.989206	4.1715875	-274.58875	1219.0	37.488514	0.1999124	1.8861892e-05	2.0	-0.042876977	19.997158	3.9906473	0.046642654	0.21917915	0.1001625	-0.9161493	0.05501482	0.00036999868	3.5648148	11.359074	-312.5819	68.91327	-310.7354	68.13842	24.0	1443.7418
