Epoch	TotalEnvInteracts	worker/CostLimit	worker/noise	learner/VVals	learner/CostVVals	worker/EpRet	worker/EpLen	worker/EpCost	learner/LossQ	learner/LossQC	learner/StopIter	learner/LossPi	learner/Lagrangian	learner/QcRet	learner/KL	learner/Entropy	learner/ClipFrac	learner/LossQcPenalty	learner/LossVallina	learner/LossKLAdv	learner/LossVC	learner/LossV	Eval/NaturalReward	Eval/NaturalCost	Eval/AdvUniformReward	Eval/AdvUniformCost	worker/Epoch	worker/Time
0	80000	1.5	0.0	0.08373152	0.047062233	-1819.8579	1219.0	466.03638	2.1176486	0.006087734	4.0	9.382365	48.01288	36.526356	0.016082987	0.92092425	0.2432875	459.4818	0.023879092	1.4039082e-07	1380.089	19699.197	-2001.2439	471.72128	-2001.2472	471.71704	0.0	44.547016
1	160000	1.5	0.0	-57.0683	38.778908	-1994.8743	1219.0	469.17172	1.2580391	0.00091479375	14.0	0.21145584	49.25993	39.67495	0.015185985	0.9159575	0.2473	10.566756	-0.00383587	7.9795905e-07	6.732504	10383.588	-1818.5044	468.72574	-1818.5748	468.7268	1.0	91.158394
2	240000	1.5	0.0023027735	-149.14992	39.57957	-1817.2411	1219.0	465.85007	1.1632051	0.0004024193	10.0	-0.030244766	50.30372	39.671055	0.016680088	0.9130783	0.2727125	-1.5834544	0.0012209171	2.793292e-06	1.8273094	489.44675	-1622.4287	465.10495	-1622.3807	465.1015	2.0	137.02516
3	320000	1.5	0.004252031	-146.19284	39.609806	-1638.8599	1219.0	461.84998	1.1306093	0.00024363407	8.0	-0.1088639	51.276615	39.476635	0.017177114	0.91291815	0.2657875	-5.814058	-0.0024671005	7.850921e-06	1.7811404	446.64734	-1428.9647	460.21442	-1428.8903	460.20517	3.0	182.4948
4	400000	1.5	0.0059020403	-132.9485	39.41395	-1458.866	1219.0	456.34433	1.0766811	0.00023001086	6.0	-0.16484936	52.08729	39.131386	0.0152218295	0.9139175	0.25955	-8.875529	-0.0055578277	1.3908476e-05	2.4212317	385.52707	-1243.8156	453.11273	-1243.7094	453.11246	4.0	227.70686
5	480000	1.5	0.0072987443	-118.42324	39.039944	-1302.6022	1219.0	448.51385	0.98883426	0.0002162606	5.0	-0.22641434	52.640884	38.57547	0.015118728	0.914898	0.230825	-12.308253	-0.01048154	2.214657e-05	3.6392438	296.8408	-1066.9377	441.24838	-1066.8634	441.28427	5.0	272.63144
6	560000	1.5	0.008481027	-105.50973	38.394398	-1142.9856	1219.0	436.5353	0.99431837	0.00018454014	5.0	-0.30476823	52.755512	37.67927	0.015962226	0.91493887	0.268775	-16.654348	-0.011423294	2.7996719e-05	5.67651	272.9252	-874.5033	422.44522	-874.52216	422.42978	6.0	317.6482
7	640000	1.5	0.009481809	-92.52555	37.434666	-992.4367	1219.0	423.73184	0.8805068	0.00017350861	5.0	-0.3312294	52.723495	36.590256	0.01587826	0.91362774	0.264175	-18.072706	-0.013270885	2.9183275e-05	6.51055	264.10934	-692.42926	390.57983	-692.4336	390.64682	7.0	362.67288
8	720000	1.5	0.010328949	-79.51313	36.0223	-851.17957	1219.0	404.9308	0.83176935	0.00015975648	6.0	-0.34277362	52.067635	35.031494	0.018559206	0.9105711	0.2953875	-18.552998	-0.01224664	2.7962804e-05	6.252066	219.22392	-511.83347	316.38806	-511.6719	316.29175	8.0	407.83075
9	800000	1.5	0.011046043	-67.641624	33.880123	-721.4747	1219.0	376.58612	0.716687	0.00015587377	7.0	-0.3874628	50.345272	32.61784	0.016529316	0.905838	0.2536875	-20.34833	-0.0134115815	2.3172664e-05	7.340479	173.85461	-392.73477	150.53734	-392.80215	150.56783	9.0	453.2006
10	880000	1.5	0.01165305	-56.843388	30.480284	-604.30634	1219.0	331.40555	0.6235974	0.00018891522	12.0	-0.48123363	46.830776	28.780428	0.015358911	0.8955144	0.2233	-23.530355	-0.014135456	8.17793e-06	10.176632	125.645935	-269.58005	47.962173	-269.50998	48.03293	10.0	499.73132
11	960000	1.5	0.012166867	-47.199337	24.541452	-505.82175	1219.0	251.39473	0.5419569	0.00021384768	112.0	-0.69823295	39.63268	21.914303	0.015107724	0.81059176	0.1193	-28.779644	-0.0150456615	1.7866629e-08	15.017791	67.45765	-47.5232	322.21063	-47.90358	322.1616	11.0	566.0467
12	1040000	1.5	0.012601807	-39.459885	15.275638	-418.1768	1219.0	135.86964	0.4111603	0.00032576302	149.0	-0.9669607	28.531845	11.438818	0.0064955377	0.72344977	0.068075	-28.731115	-0.008473384	2.0225293e-09	21.776657	44.05525	-11.645685	334.1544	-11.279916	333.541	12.0	640.50055
13	1120000	1.5	0.012969971	-33.939007	9.29455	-387.32724	1219.0	101.64651	0.34458318	0.00047384584	149.0	-0.24968217	25.473957	8.266155	0.0068369904	0.64181226	0.0630375	-6.6997986	-0.00803067	4.0668155e-10	5.112571	18.45809	-6.704652	332.58823	-6.6611776	332.59375	13.0	714.7775
14	1200000	1.5	0.0132816145	-31.245268	6.515317	-358.8234	1219.0	76.02252	0.2890659	0.0003926138	149.0	-0.09780635	23.11743	6.1033206	0.0068759336	0.56252766	0.0607875	-2.420332	-0.0070234435	1.543305e-10	3.5618727	14.819382	-5.721799	332.68344	-5.731024	332.6824	14.0	789.2964
15	1280000	1.5	0.013545423	-28.94425	4.871084	-335.32062	1219.0	57.5462	0.26421794	0.00018676426	149.0	-0.038882755	21.468132	4.7039356	0.0066644987	0.4844904	0.059475	-0.91499305	-0.007412802	1.2985324e-10	3.4623113	13.588429	-5.189255	332.73062	-5.2135353	332.727	15.0	863.56
16	1360000	1.5	0.013768726	-26.97154	3.7799547	-311.0207	1219.0	44.366516	0.22487116	9.679236e-05	149.0	-0.0120283635	20.287762	3.7173126	0.005710402	0.41136366	0.0515	-0.27895817	-0.007868093	8.733755e-11	3.3938563	11.190635	-4.2444625	332.81116	-4.237731	332.8131	16.0	938.14624
17	1440000	1.5	0.013957752	-25.015007	3.176655	-292.58527	1219.0	37.345028	0.20311208	0.00010055335	149.0	0.014792223	19.682571	3.2192795	0.004138629	0.3445093	0.043	0.28992885	-0.007381647	3.739325e-11	3.2935095	10.050145	-3.74598	332.88043	-3.7230556	332.88522	17.0	1012.4498
18	1520000	1.5	0.014117749	-23.488934	3.0028732	-274.3198	1219.0	35.98994	0.17911191	4.8566475e-05	149.0	0.059160046	19.647484	3.236185	0.0002182158	0.3300347	6.25e-05	1.222607	-0.0018819637	6.480166e-11	4.057093	7.763364	-3.7487934	332.87988	-3.7432103	332.88126	18.0	1086.709
19	1600000	1.5	0.014253196	-22.14811	3.181976	-271.28033	1219.0	35.55055	0.18488285	4.385828e-05	149.0	0.02818745	19.708878	3.2861516	0.0018821335	0.285593	0.0161875	0.5801	-0.005618202	2.0756484e-10	3.5162673	6.0830593	-4.085665	332.82986	-4.0565224	332.8336	19.0	1161.1152
20	1680000	1.5	0.014367847	-21.908024	3.2676558	-264.6489	1219.0	36.62306	0.17035691	3.7446945e-05	149.0	0.045601718	19.909542	3.4445152	0.00022025609	0.30080605	0.0003625	0.94990665	0.002353645	7.499255e-10	4.031306	6.3558054	-4.586266	332.77988	-4.5582232	332.78186	20.0	1235.5717
21	1760000	1.5	0.014464887	-21.373316	3.4618714	-263.34024	1219.0	37.148846	0.17907885	3.2032898e-05	149.0	0.029504849	20.06847	3.5714157	0.0020933074	0.25383374	0.0189125	0.6178873	-0.005798604	5.120807e-11	3.8964837	6.160223	-3.2695653	332.9316	-3.2592282	332.93307	21.0	1310.1338
22	1840000	1.5	0.014547037	-21.127502	3.543518	-256.60995	1219.0	37.49976	0.1706584	3.5655306e-05	149.0	0.044847514	20.20802	3.7182074	0.0029764601	0.20396474	0.021875	0.9475966	-0.006177124	9.56616e-12	4.2428107	5.5654826	-2.067344	332.99115	-2.0753107	332.9913	22.0	1384.7294
23	1920000	1.5	0.014616577	-20.67882	3.7824626	-246.12976	1219.0	39.91102	0.15921935	2.5112298e-05	127.0	0.077334754	20.559858	4.0941443	0.015343478	0.1879979	0.0578	1.6304919	0.012763216	2.4370021e-05	4.855166	5.6718106	-225.81137	180.28778	-228.81374	180.91917	23.0	1454.9679
24	2000000	1.5	0.014675439	-19.953716	4.0844254	-256.1142	1219.0	38.483967	0.17361777	2.3738923e-05	2.0	0.004658566	20.526522	4.0904946	0.021640167	0.18771863	0.05825	0.075574644	0.022398047	6.187804e-05	3.431221	7.6137967	-259.14114	125.081604	-258.76596	125.18257	24.0	1499.4739
25	2080000	1.5	0.014725265	-20.760618	3.9704356	-273.41272	1219.0	33.090206	0.19114116	1.9840274e-05	2.0	-0.078306116	20.08823	3.637092	0.10018235	0.18749404	0.1226	-1.8096349	0.086880885	0.00016218323	2.9012337	13.7745	-316.29565	47.958694	-315.69055	48.02286	25.0	1544.0673
26	2160000	1.5	0.014767439	-22.341911	3.2970707	-309.39	1219.0	20.495508	0.22668627	2.3349992e-05	1.0	-0.27726677	18.904037	2.1391935	0.056920372	0.18740463	0.1300125	-5.7688656	0.083152	0.0002673076	8.530129	37.13093	-350.82208	16.561075	-350.4987	16.622707	26.0	1588.4215
27	2240000	1.5	0.014803143	-25.363514	1.9749445	-341.63324	1219.0	12.9585495	0.26141322	4.077283e-05	1.0	-0.1960557	18.196154	1.1529106	0.091726914	0.18732128	0.222825	-3.9793754	0.10601321	0.00048247515	4.7981467	49.042255	-388.5498	1.0148525	-388.87994	1.0287604	27.0	1632.7249
28	2320000	1.5	0.014833362	-28.233221	1.5751976	-384.68805	1219.0	21.1498	0.30227563	0.00015876356	1.0	0.033825897	19.076406	1.711862	0.06932766	0.18720579	0.2121375	0.6486498	0.08564085	0.0007010423	2.6768544	75.06078	-424.68222	5.891409	-424.74762	5.879822	28.0	1676.9712
29	2400000	1.5	0.014858946	-31.783722	2.868709	-420.25748	1219.0	51.005886	0.33479872	0.00031472946	1.0	0.386377	22.20009	4.453484	0.023907471	0.18709573	0.1146625	9.03036	0.0369519	0.00078659994	4.7709274	93.98535	-446.32846	14.230465	-446.6983	14.355856	29.0	1721.2906
30	2480000	1.5	0.0148806	-34.592648	5.2612553	-440.32397	1219.0	70.67183	0.33377767	0.00023222226	4.0	0.29137135	24.348782	6.4391627	0.05216262	0.18672872	0.31155	7.057491	0.041896474	0.00049183844	3.6925719	99.47819	-419.34494	4.416943	-418.86096	4.3795643	30.0	1766.2913
31	2560000	1.5	0.014898927	-34.759583	3.6926136	-408.90686	1219.0	15.661064	0.31080243	0.00016686172	1.0	-0.48700085	18.928452	1.6520497	0.029566012	0.18664797	0.1403875	-9.794995	0.03065343	0.0005689147	6.2325196	136.0483	-396.4508	1.6090363	-397.93283	1.7116482	31.0	1810.612
32	2640000	1.5	0.014914451	-33.082474	1.2517544	-384.3739	1219.0	5.489637	0.30556163	7.714609e-05	1.0	-0.17616625	17.927517	0.48585814	0.034781586	0.18657184	0.1251125	-3.398034	0.031278096	0.00050237565	1.8130941	103.27432	-366.4414	8.544649	-368.5544	8.282264	32.0	1854.875
