Epoch	TotalEnvInteracts	worker/CostLimit	worker/noise	learner/VVals	learner/CostVVals	worker/EpRet	worker/EpLen	worker/EpCost	learner/LossQ	learner/LossQC	learner/StopIter	learner/LossPi	learner/Lagrangian	learner/QcRet	learner/KL	learner/Entropy	learner/ClipFrac	learner/LossQcPenalty	learner/LossVallina	learner/LossVC	learner/LossV	Eval/NaturalReward	Eval/NaturalCost	Eval/AdvUniformReward	Eval/AdvUniformCost	worker/Epoch	worker/Time
0	80000	1.5	0.0	0.0059754183	-0.11591515	-1720.3665	1219.0	463.84384	1.7240055	0.0058838516	5.0	9.37603	47.78236	36.378914	0.021626983	0.92144483	0.3072375	456.64905	-0.0042464067	1382.9072	17557.94	-1487.841	462.2613	-1487.7655	462.26312	0.0	43.427032
1	160000	1.5	0.0	-72.438675	38.98318	-1515.1741	1219.0	458.29712	0.93464965	0.0010702625	5.0	-0.06836346	48.139477	38.923317	0.01940219	0.9225884	0.3011	-3.5266328	0.00033125267	16.09869	2696.4143	-1281.3496	455.168	-1281.2688	455.14877	1.0	87.01507
2	240000	1.5	0.0023027735	-115.3844	38.711517	-1335.4861	1219.0	450.18396	0.8216182	0.000389701	5.0	-0.14819926	48.668938	38.498573	0.019691879	0.92227834	0.2988375	-7.525201	-0.00045914212	7.1012726	376.20505	-1076.0072	441.79108	-1075.8975	441.7964	2.0	242.1934
3	320000	1.5	0.004252031	-106.34847	38.338833	-1153.7854	1219.0	436.48444	0.752058	0.00017394724	5.0	-0.3334783	48.597614	37.556423	0.017443838	0.9214744	0.2892375	-16.811493	-0.006267649	8.315456	319.94864	-874.52203	422.60883	-874.54974	422.6396	3.0	397.269
4	400000	1.5	0.0059020403	-92.633	37.46832	-1000.0635	1219.0	423.51978	0.7043584	0.00015892531	5.0	-0.38883463	48.55928	36.562263	0.01662713	0.9212714	0.26165	-19.521996	-0.010783744	11.009301	254.60962	-692.3117	391.14343	-692.4719	391.11417	4.0	552.78546
5	480000	1.5	0.0072987443	-79.98412	36.383053	-856.0429	1219.0	405.04697	0.68187916	0.00018669752	6.0	-0.5007448	47.934097	35.082203	0.017815003	0.9201871	0.28835	-24.812765	-0.012014977	15.622053	219.6133	-514.1185	319.81866	-514.18835	319.9132	5.0	708.19073
6	560000	1.5	0.008481027	-67.88184	34.535576	-719.6973	1219.0	375.3919	0.6198589	0.0001950585	8.0	-0.6517572	46.102615	32.64072	0.018132776	0.91602033	0.2808875	-31.104774	-0.011904135	22.197392	183.14964	-388.18646	143.98149	-388.09897	143.99866	6.0	863.72614
7	640000	1.5	0.009481809	-56.743256	31.3577	-595.5692	1219.0	328.08063	0.5470898	0.00022700962	15.0	-0.8435618	42.304955	28.633087	0.015486832	0.9055873	0.2288625	-36.97904	-0.012518072	28.881588	134.73308	-257.28748	56.215927	-257.3414	56.116455	7.0	1019.8098
8	720000	1.5	0.010328949	-46.45583	25.280174	-496.32016	1219.0	238.62463	0.44186634	0.00022360287	149.0	-1.2023373	34.139816	20.9208	0.012709506	0.8105878	0.1000625	-42.539825	-0.0145689	35.15781	64.00841	-61.59012	311.79025	-61.468338	311.72955	8.0	1187.36
9	800000	1.5	0.011046043	-38.984783	16.193096	-419.48334	1219.0	135.19402	0.3297451	0.000244454	149.0	-1.1928266	24.287897	11.58352	0.0073225847	0.7292118	0.063075	-30.243563	-0.007892639	29.540888	39.64715	-19.955492	336.2132	-20.1675	336.034	9.0	1354.6978
10	880000	1.5	0.01165305	-33.99854	9.760576	-386.94852	1219.0	101.11908	0.28948173	0.00035529857	149.0	-0.38744473	21.222038	8.24343	0.0065637613	0.65064615	0.0596875	-8.668119	-0.007819341	7.634468	18.615294	-9.006015	332.41306	-8.991135	332.41043	10.0	1522.3087
11	960000	1.5	0.012166867	-31.196228	6.7250147	-360.34268	1219.0	75.665016	0.26118788	0.000511394	149.0	-0.16442667	18.89586	6.0593314	0.0060201962	0.5732808	0.0571375	-3.3131754	-0.0076732957	4.6130643	15.850845	-7.869668	332.4901	-7.8866463	332.48898	11.0	1690.0527
12	1040000	1.5	0.012601807	-29.109474	5.166877	-336.80948	1219.0	59.908257	0.22940335	0.0004553465	149.0	-0.069320075	17.522434	4.8651767	0.0055173608	0.49657914	0.055675	-1.3196697	-0.007624277	3.36506	12.998661	-7.467465	332.5212	-7.425615	332.52393	12.0	1857.8018
13	1120000	1.5	0.012969971	-27.082144	4.111677	-317.05045	1219.0	47.82221	0.21192601	0.00018817227	149.0	-0.042487897	16.427965	3.9066558	0.0055906605	0.4202952	0.0552625	-0.77412647	-0.007836081	3.0293036	10.870977	-7.611093	332.50983	-7.5614123	332.5121	13.0	2025.2806
14	1200000	1.5	0.0132816145	-25.30985	3.1878943	-293.44772	1219.0	37.39522	0.1846468	0.000109001216	149.0	-0.004337712	15.497748	3.1447604	0.0036974766	0.36094078	0.0335875	-0.07981909	-0.0064173774	3.7471464	10.308631	-19.045757	335.58597	-19.10033	335.59647	14.0	2193.0376
15	1280000	1.5	0.013545423	-23.647814	2.9897478	-280.24408	1219.0	35.98437	0.16927634	5.6916928e-05	39.0	0.041748744	15.464638	3.1383889	0.03724497	0.35028568	0.091175	0.569312	0.03283676	3.464449	8.200377	-284.17706	76.97701	-284.06958	77.007576	15.0	2351.4443
16	1360000	1.5	0.013768726	-22.947697	3.032821	-308.08542	1219.0	32.33152	0.21501908	6.501782e-05	2.0	-0.050561573	15.19428	2.779504	0.019910533	0.34976625	0.0774125	-0.82254404	0.034105062	2.9058206	16.341394	-318.9367	32.087135	-319.0304	32.105305	16.0	2506.8037
17	1440000	1.5	0.013957752	-25.084633	2.9339552	-333.35434	1219.0	31.070517	0.23294592	9.899838e-05	11.0	-0.07314778	15.155475	2.603077	0.020960085	0.34647033	0.0508375	-1.2296457	0.014746668	2.795042	24.221163	-319.94138	45.844276	-318.39325	46.08101	17.0	2662.6914
18	1520000	1.5	0.014117749	-26.7818	2.0811133	-337.34433	1219.0	17.815395	0.26250988	6.66262e-05	149.0	-0.13915731	13.893866	1.482837	0.0026755806	0.31505468	0.02645	-2.086342	-0.00065439055	1.2760122	52.14683	-288.43262	86.67372	-287.60364	86.91122	18.0	2830.2764
19	1600000	1.5	0.014253196	-27.404556	1.2641271	-332.8925	1219.0	13.345608	0.24241109	3.6452144e-05	149.0	-0.031354785	13.493545	1.1262765	0.014954263	0.29642197	0.0955	-0.48050365	0.017432876	0.52012366	55.686237	-301.7982	36.349487	-301.6611	36.33643	19.0	2997.7136
20	1680000	1.5	0.014367847	-27.26353	1.0611709	-347.19168	1219.0	8.960444	0.25333825	2.7059326e-05	149.0	-0.070833884	13.07846	0.75534165	0.0039690416	0.25514722	0.0453875	-1.0136416	0.00285395	0.6201745	62.255455	-299.68018	57.060246	-299.89178	56.74068	20.0	3165.3293
21	1760000	1.5	0.014464887	-28.130043	0.64312315	-348.17145	1219.0	5.4224396	0.25443155	2.0989697e-05	149.0	-0.04123482	12.744704	0.46659333	0.007999142	0.25080085	0.053175	-0.5839268	0.010596457	0.19051175	76.10039	-310.63666	61.140347	-309.75244	61.760708	21.0	3332.641
22	1840000	1.5	0.014547037	-28.498922	0.4629509	-357.41605	1219.0	3.2591658	0.26085392	1.622264e-05	149.0	-0.044233076	12.533995	0.27308378	0.0060135024	0.23747063	0.041675	-0.6124257	0.0070000924	0.22482085	89.638664	-319.78983	66.56129	-319.9508	66.23913	22.0	3500.1248
23	1920000	1.5	0.014616577	-29.11255	0.28201678	-362.04965	1219.0	2.9677136	0.27279812	1.9220539e-05	149.0	-0.009274912	12.509258	0.24182057	0.0011213567	0.22291493	0.0109875	-0.12906833	0.0012556254	0.0689535	105.75454	-326.95892	57.205032	-326.11206	57.18604	23.0	3667.9385
24	2000000	1.5	0.014675439	-29.51559	0.21936728	-364.35284	1219.0	2.2025042	0.2686238	1.83829e-05	149.0	-0.009626722	12.436865	0.17775534	0.00092052086	0.206779	0.0059625	-0.13122502	8.836422e-05	0.03018558	107.3818	-329.0229	61.41573	-328.55026	61.397457	24.0	3835.5896
25	2080000	1.5	0.014725265	-29.686718	0.1734447	-365.35385	1219.0	1.8627144	0.27112472	1.36654735e-05	149.0	-0.0056686173	12.403594	0.15015101	0.0012154971	0.19649553	0.0105375	-0.07911726	0.0011795419	0.020721963	119.177025	-336.03134	49.964855	-336.44968	49.371643	25.0	4003.1658
26	2160000	1.5	0.014767439	-29.8694	0.13877684	-368.72693	1219.0	1.5613049	0.27213612	2.0623871e-05	149.0	-0.0035137967	12.374199	0.12419331	0.0011871037	0.18337926	0.0101875	-0.048703436	0.00034670043	0.020971725	121.0442	-342.3157	32.970436	-342.4165	32.519257	26.0	4170.541
27	2240000	1.5	0.014803143	-30.15364	0.11255615	-370.7641	1219.0	1.4599842	0.2726571	2.0482497e-05	149.0	0.00089633005	12.3699465	0.117099024	0.001103277	0.16674559	0.0063375	0.011844709	-0.00085953664	0.021847202	117.2582	-338.62735	39.667812	-338.71408	39.21154	27.0	4338.545
28	2320000	1.5	0.014833362	-30.307482	0.11950294	-368.31998	1219.0	1.273645	0.26401275	1.8188832e-05	149.0	-0.004032483	12.369209	0.10341868	0.00074786757	0.15497422	0.006475	-0.055285357	0.0003175177	0.018201534	120.626434	-341.0021	41.908264	-340.72552	41.467213	28.0	4505.9565
29	2400000	1.5	0.014858946	-30.201843	0.10648986	-370.54904	1219.0	1.482032	0.27233583	2.3032679e-05	149.0	0.0029524202	12.369293	0.12001217	0.0005742282	0.1364088	0.00345	0.03900816	-0.00046946894	0.03166881	127.405464	-342.128	36.757668	-342.65842	37.13327	29.0	4673.7676
30	2480000	1.5	0.0148806	-30.380707	0.113417014	-370.0082	1219.0	1.3489811	0.27060744	2.5714966e-05	149.0	-0.00096687744	12.368575	0.1099729	0.0011865309	0.11510122	0.0041125	-0.013278711	-0.00048089982	0.026153378	124.38276	-343.8174	37.750496	-344.04294	38.24707	30.0	4841.207
31	2560000	1.5	0.014898927	-30.396921	0.12051854	-369.01944	1219.0	1.3786718	0.26107064	2.3612858e-05	149.0	-0.0021497568	12.368177	0.11135671	0.0011837602	0.0996784	0.01405	-0.030756034	0.00071033154	0.027491633	132.98398	-345.9814	40.16887	-346.2391	41.43754	31.0	5008.964
32	2640000	1.5	0.014914451	-30.292543	0.106820494	-371.1341	1219.0	1.5876324	0.26930708	3.1864965e-05	149.0	0.005236528	12.374911	0.12953907	0.0005932982	0.086007476	0.0025375	0.069751516	-0.00014035658	0.03873755	137.94666	-345.49945	37.082737	-345.88242	37.135406	32.0	5176.3853
33	2720000	1.5	0.01492758	-30.451254	0.12610562	-370.46466	1219.0	1.559811	0.25299424	3.3885648e-05	149.0	0.00048293578	12.3720875	0.12775363	0.0008552118	0.07048905	0.0086625	0.005378581	0.0001838478	0.034898277	139.72722	-344.60672	35.26035	-345.0893	33.926983	33.0	5344.1113
34	2800000	1.5	0.014938699	-30.372425	0.12442902	-369.4513	1219.0	1.4895097	0.27214733	3.0948497e-05	149.0	-0.00025240722	12.368351	0.12281837	0.0010984758	0.044965506	0.007625	-0.0034465499	-0.0012189762	0.03215504	138.19249	-341.62576	37.737217	-341.48148	36.92557	34.0	5511.683
35	2880000	1.5	0.014948113	-30.431421	0.12608095	-367.09793	1219.0	1.3347619	0.2354165	2.3552833e-05	149.0	-0.0035652	12.367795	0.11038319	0.0006345227	0.02602148	0.0044	-0.048866548	0.00023052325	0.025093965	137.61719	-345.74243	33.297974	-345.59766	32.851322	35.0	5679.4844
36	2960000	1.5	0.014956073	-30.349648	0.11033622	-365.66122	1219.0	1.3336961	0.2444478	2.1765312e-05	149.0	0.00018949613	12.367236	0.110872306	0.0008296527	0.0020946264	0.0071125	0.0013989345	7.572727e-05	0.024005692	145.0543	-343.79816	35.25954	-344.09985	34.951138	36.0	5847.169
37	3040000	1.5	0.01496282	-30.084747	0.10936898	-365.21164	1219.0	1.2876064	0.2257025	2.5965837e-05	149.0	-0.00018703847	12.366541	0.108399086	0.0007852164	-0.016850233	0.002	-0.0027064919	-0.0002890964	0.022243384	142.751	-343.37845	34.650425	-343.59915	33.77314	37.0	6015.027
38	3120000	1.5	0.0149685275	-30.019056	0.10522196	-364.07532	1219.0	1.2326021	0.21857318	2.7055732e-05	149.0	-0.00032170652	12.365683	0.103619784	0.0017656838	-0.0553447	0.0128625	-0.005124969	-0.0006763962	0.019297553	142.25792	-341.8082	37.037502	-342.33383	37.75018	38.0	6182.8984
39	3200000	1.5	0.014973358	-30.192928	0.100526854	-362.06223	1219.0	1.1503121	0.21114846	1.8187218e-05	149.0	-0.00081915315	12.364581	0.0968221	0.0016719431	-0.08368075	0.0089875	-0.011263366	-0.0007480196	0.016052185	147.29933	-342.77615	34.784317	-342.43747	33.898716	39.0	6350.287
40	3280000	1.5	0.014977453	-30.025934	0.0944324	-358.87805	1219.0	1.1119385	0.21305013	1.7204271e-05	149.0	-0.00042245619	12.363366	0.09266635	0.00055506994	-0.094617605	0.0029625	-0.0060647116	-0.00016385372	0.010895041	146.06468	-344.10522	38.680984	-343.77142	38.28594	40.0	6517.8535
41	3360000	1.5	0.014980911	-29.643684	0.092391044	-360.37817	1219.0	1.1569799	0.22030064	1.4249813e-05	149.0	0.0014775542	12.36233	0.09912285	0.0013872928	-0.12815285	0.0090625	0.019245539	-0.0004161043	0.013574707	149.00238	-343.8379	38.134464	-344.16113	37.63074	41.0	6685.6343
42	3440000	1.5	0.014983846	-29.89089	0.09698682	-360.59512	1219.0	1.1413441	0.21224585	1.2630831e-05	149.0	0.0004095151	12.361157	0.099164836	0.00066431693	-0.14605772	0.0092	0.00464884	-8.5458754e-07	0.01488071	156.72398	-343.7284	35.349	-344.29373	35.638626	42.0	6853.1304
43	3520000	1.5	0.014986322	-29.873371	0.09590441	-360.18457	1219.0	1.1398364	0.19376996	1.4875704e-05	149.0	0.001063716	12.360025	0.101025656	0.0008821682	-0.16052032	0.0037875	0.013787654	-0.00018996825	0.014851721	160.9932	-343.99063	38.021584	-343.69662	38.016506	43.0	7020.5596
44	3600000	1.5	0.0149884205	-29.910748	0.09987428	-360.19946	1219.0	1.1582862	0.20942879	1.7016102e-05	149.0	0.0006816877	12.358965	0.1035654	0.0010606386	-0.18917012	0.00745	0.008600805	-0.00048609098	0.0152593125	157.90935	-343.89417	39.16584	-344.58395	39.426964	44.0	7188.124
45	3680000	1.5	0.0149901975	-30.183928	0.1029178	-358.55585	1219.0	1.0888438	0.20461273	1.1568741e-05	149.0	-0.0016240984	12.357664	0.09688646	0.00081909314	-0.20520261	0.006425	-0.021914141	-0.0005815012	0.011595961	154.11282	-344.12476	40.587936	-344.10434	39.441593	45.0	7355.936
46	3760000	1.5	0.0149917025	-30.152441	0.09529338	-358.0249	1219.0	1.072452	0.2018979	1.2792414e-05	149.0	-0.00032173295	12.356332	0.094968155	0.0012116233	-0.22712468	0.009825	-0.004393986	-0.00061580027	0.010297917	146.20291	-342.3332	40.7958	-343.20047	41.12828	46.0	7523.49
47	3840000	1.5	0.014992981	-30.082287	0.09305427	-357.04242	1219.0	1.0843117	0.20187771	1.4811873e-05	149.0	0.00022713897	12.355047	0.09511404	0.0011860552	-0.2563496	0.0063875	0.0025614453	-0.0003682186	0.008670575	140.58206	-344.2663	41.21138	-344.26437	41.333637	47.0	7690.884
48	3920000	1.5	0.014994055	-30.00952	0.096439	-357.82413	1219.0	1.0941519	0.19479156	1.1009232e-05	149.0	8.9745154e-05	12.353778	0.09802053	0.0011544671	-0.28529593	0.00645	0.001020748	-0.00041875296	0.009845049	139.07436	-344.06146	42.133938	-344.65585	42.581326	48.0	7859.495
49	4000000	1.5	0.014994966	-30.151398	0.09712943	-357.67862	1219.0	1.1196573	0.20269409	1.3795189e-05	149.0	0.0005523062	12.352601	0.100822784	0.0010426778	-0.31013605	0.0119125	0.006617105	-0.00018199038	0.009739984	128.17833	-345.24765	39.538464	-345.05582	39.39705	49.0	8026.999
50	4080000	1.5	0.01499574	-29.635244	0.101924986	-358.98346	1219.0	1.1619602	0.19794968	1.2790498e-05	149.0	0.0008174194	12.351552	0.10710639	0.0008397222	-0.31314185	0.0042	0.010737579	-0.00044880115	0.011631581	127.14057	-345.13782	37.4681	-345.7648	37.44524	50.0	8195.076
51	4160000	1.5	0.0149963945	-29.035172	0.107148044	-358.55023	1219.0	1.1214429	0.21030882	2.1297343e-05	149.0	-0.0012741213	12.350324	0.10363091	0.00078383635	-0.32629678	0.0035625	-0.01734331	-0.0001276348	0.010160887	128.94832	-344.26913	34.81931	-344.6528	34.74188	51.0	8362.475
52	4240000	1.5	0.014996949	-29.880777	0.10189082	-357.95618	1219.0	1.0904318	0.204638	2.0559703e-05	149.0	-0.00084753	12.349045	0.10034071	0.0008951886	-0.34923318	0.006375	-0.0116217565	-0.0005797553	0.008525401	132.28558	-344.991	34.135098	-345.78366	34.354256	52.0	8530.065
53	4320000	1.5	0.014997421	-29.117296	0.102657706	-358.93976	1219.0	1.1259187	0.19426957	1.4835042e-05	149.0	-8.53604e-05	12.347906	0.10441589	0.0011925782	-0.3710375	0.00685	-0.0014918972	-0.000414422	0.009774003	141.62186	-345.37463	35.789246	-345.74005	35.345776	53.0	8697.6875
54	4400000	1.5	0.014997812	-30.471197	0.10002631	-358.5288	1219.0	1.1736486	0.20997575	1.4390284e-05	149.0	0.0014503495	12.346886	0.10847339	0.00034136605	-0.36559278	0.002775	0.019189777	-0.00026104468	0.009832701	140.08743	-346.45148	33.25271	-346.23917	33.647385	54.0	8865.278
55	4480000	1.5	0.014998151	-28.204477	0.11153596	-359.6667	1219.0	1.1443126	0.19586487	1.3584216e-05	149.0	-0.0013342398	12.345719	0.108357556	0.0015209416	-0.385602	0.009875	-0.018544978	-0.0005512041	0.010864416	139.3751	-343.74905	32.63816	-343.7004	32.580757	55.0	9032.923
56	4560000	1.5	0.014998434	-29.904425	0.10490741	-358.78488	1219.0	1.1389595	0.20433578	1.982598e-05	149.0	-0.00020764963	12.344584	0.106547244	0.00039390766	-0.37501222	0.0026375	-0.0029518418	-0.00017981796	0.009229207	138.60706	-344.92532	33.14475	-345.63632	32.79379	56.0	9200.548
57	4640000	1.5	0.0149986725	-28.353731	0.10914025	-360.1909	1219.0	1.1506474	0.19293556	1.751741e-05	149.0	-0.0005448572	12.343495	0.10932156	0.0010449932	-0.39536473	0.006225	-0.0075424085	-0.00055008166	0.010391218	139.8126	-348.5922	31.182623	-348.97784	30.930996	57.0	9368.344
58	4720000	1.5	0.014998881	-30.1061	0.10728019	-360.62863	1219.0	1.2329115	0.19825168	1.810135e-05	149.0	0.0016726753	12.342709	0.11706201	0.001306697	-0.41365048	0.00795	0.02200653	-0.0004741188	0.0118010305	140.95047	-350.4704	24.959957	-350.64285	24.758501	58.0	9536.354
59	4800000	1.5	0.014999048	-29.217918	0.114585765	-359.05725	1219.0	1.1151391	0.19870721	1.6828562e-05	149.0	-0.002706675	12.341421	0.10581576	0.0010363443	-0.42484996	0.0072125	-0.036670677	-0.00045231686	0.008857401	134.56792	-346.03433	30.001646	-346.3536	29.660807	59.0	9703.922
60	4880000	1.5	0.014999196	-30.60566	0.10281177	-357.50125	1219.0	1.1736783	0.20235991	1.9384646e-05	149.0	0.0005747153	12.340446	0.107748754	0.0012392122	-0.44532728	0.009325	0.0070040785	-0.0005625778	0.008211457	141.05724	-347.038	30.758512	-346.22815	30.84055	60.0	9871.526
61	4960000	1.5	0.014999316	-29.618778	0.10906327	-357.60373	1219.0	1.2189474	0.21194465	2.1337246e-05	149.0	0.00015079591	12.339536	0.11190767	0.00091024773	-0.45325702	0.0037625	0.001818538	-0.0005255815	0.007920828	140.3966	-347.16595	29.2582	-347.22598	28.76211	61.0	10038.947
62	5040000	1.5	0.014999421	-29.021053	0.11207724	-358.32278	1219.0	1.2489967	0.2155282	2.090788e-05	149.0	0.0001883766	12.338711	0.11507932	0.0008258972	-0.46336797	0.0034625	0.0022240323	-0.0003106863	0.008624135	144.30138	-348.66232	28.380287	-349.71597	27.674118	62.0	10206.809
63	5120000	1.5	0.01499951	-29.11777	0.117932275	-359.30377	1219.0	1.2692151	0.2201334	2.0618314e-05	149.0	-0.0003490655	12.337951	0.11869548	0.0010456074	-0.4730063	0.0053125	-0.005047425	-0.00050451315	0.009734912	147.08685	-351.70685	24.270386	-350.715	24.44086	63.0	10374.369
64	5200000	1.5	0.014999585	-28.440657	0.122734666	-359.941	1219.0	1.2135953	0.21564761	1.6412503e-05	149.0	-0.0021473747	12.337017	0.115855016	0.0007684495	-0.47714424	0.0044375	-0.028707525	-0.00017257557	0.009848361	160.44868	-354.24475	21.723248	-353.72253	21.248993	64.0	10541.992
65	5280000	1.5	0.014999655	-28.437822	0.12155548	-362.57303	1219.0	1.3475809	0.21019062	1.7615524e-05	149.0	0.0017354131	12.33663	0.13160443	0.00147705	-0.5034676	0.0126375	0.02222785	-0.00028792486	0.0140724415	164.60924	-352.71735	20.484694	-352.3473	20.18386	65.0	10709.33
66	5360000	1.5	0.014999704	-29.92422	0.12930775	-361.74393	1219.0	1.3083422	0.21978931	2.0040201e-05	149.0	-0.0009092987	12.335864	0.12823743	0.0011247626	-0.5096889	0.0099375	-0.013279621	-4.1007996e-05	0.01214682	166.0211	-352.63083	18.255932	-353.51245	17.699982	66.0	10876.691
67	5440000	1.5	0.014999748	-28.711245	0.12677182	-360.9274	1219.0	1.1731513	0.21903364	1.9688605e-05	149.0	-0.0031250345	12.334829	0.11614098	0.0009445896	-0.519332	0.005325	-0.04180398	-0.00069283106	0.009996517	161.1345	-350.69482	21.2615	-350.8242	20.652393	67.0	11044.373
