Epoch	TotalEnvInteracts	worker/CostLimit	worker/noise	learner/VVals	learner/CostVVals	worker/EpRet	worker/EpLen	worker/EpCost	learner/LossQ	learner/LossQC	learner/StopIter	learner/LossPi	learner/Lagrangian	learner/QcRet	learner/KL	learner/Entropy	learner/ClipFrac	learner/LossQcPenalty	learner/LossVallina	learner/LossVC	learner/LossV	Eval/NaturalReward	Eval/NaturalCost	Eval/AdvUniformReward	Eval/AdvUniformCost	worker/Epoch	worker/Time
0	80000	1.5	0.0	0.08373152	0.047062233	-1819.8579	1219.0	466.03638	2.1176486	0.006087734	4.0	9.382364	48.01288	36.526356	0.016075043	0.92092425	0.2432375	459.48184	0.02387015	1380.089	19699.197	-2001.1981	471.72012	-2001.2532	471.71985	0.0	43.18868
1	160000	1.5	0.0	-57.064754	38.77621	-1995.2971	1219.0	469.03754	1.2536618	0.00094635284	18.0	0.20964222	49.245262	39.670944	0.018559106	0.9133377	0.288175	10.472915	-0.00023420429	6.7056437	10377.156	-1800.4276	468.57697	-1800.4081	468.57642	1.0	87.58133
2	240000	1.5	0.0023027735	-149.20148	39.576958	-1807.3944	1219.0	465.69788	1.1596655	0.00038883588	7.0	-0.032076154	50.28824	39.655518	0.01605978	0.9102288	0.256225	-1.731243	-0.0008889597	1.8508126	524.0741	-1613.652	465.03226	-1613.6284	465.03235	2.0	130.91711
3	320000	1.5	0.004252031	-145.16835	39.58641	-1626.6509	1219.0	461.36118	1.1388228	0.00024126456	6.0	-0.11115608	51.232315	39.45075	0.016030403	0.9095373	0.260525	-5.923235	-0.002551917	1.8069597	432.71204	-1424.0996	460.1803	-1424.0834	460.1777	3.0	174.2664
4	400000	1.5	0.0059020403	-132.08624	39.403378	-1461.511	1219.0	456.50253	1.0500091	0.00022330666	6.0	-0.15919305	52.108696	39.134563	0.020205142	0.9094706	0.309275	-8.601634	-0.004429337	2.410813	351.1574	-1220.5028	451.85156	-1220.3948	451.8414	4.0	217.8897
5	480000	1.5	0.0072987443	-118.422615	38.996326	-1276.7175	1219.0	446.59415	0.98649347	0.00020216945	5.0	-0.25461012	52.447197	38.440544	0.016428705	0.90909374	0.2623625	-13.786853	-0.01014126	4.1052427	337.3094	-1033.9678	438.41498	-1033.8235	438.3663	5.0	261.1797
6	560000	1.5	0.008481027	-103.60397	38.284348	-1116.5857	1219.0	435.388	0.9369106	0.00015849309	5.0	-0.30652767	52.626442	37.561302	0.016587662	0.90850437	0.2744625	-16.665152	-0.012205656	5.770178	289.9837	-841.2619	418.48978	-841.2644	418.54874	6.0	304.6717
7	640000	1.5	0.009481809	-90.16453	37.29838	-965.6368	1219.0	421.08838	0.8543571	0.00014778375	5.0	-0.35659617	52.44559	36.393814	0.0151526015	0.9079667	0.25645	-19.338282	-0.0135598965	7.579727	266.7293	-665.4305	383.82516	-665.6007	383.93753	7.0	348.16074
8	720000	1.5	0.010328949	-77.27842	35.855064	-828.6966	1219.0	401.29663	0.77501607	0.00015602238	6.0	-0.38987392	51.66739	34.7489	0.016778884	0.90674776	0.2788875	-20.91296	-0.01313042	8.19395	210.43297	-495.08673	304.692	-495.0221	304.51794	8.0	391.72177
9	800000	1.5	0.011046043	-65.89844	33.712936	-709.7209	1219.0	373.75583	0.7029171	0.00017878262	7.0	-0.41242474	50.01171	32.410217	0.015471582	0.9043702	0.22435	-21.437696	-0.01408501	8.6044	162.1381	-386.2395	139.14369	-386.27902	139.11482	9.0	435.5968
