Epoch	TotalEnvInteracts	worker/CostLimit	worker/noise	learner/VVals	learner/CostVVals	worker/EpRet	worker/EpLen	worker/EpCost	learner/LossQ	learner/LossQC	learner/StopIter	learner/LossPi	learner/Lagrangian	learner/QcRet	learner/KL	learner/Entropy	learner/ClipFrac	learner/LossQcPenalty	learner/LossVallina	learner/LossKLAdv	learner/LossVC	learner/LossV	Eval/NaturalReward	Eval/NaturalCost	Eval/AdvUniformReward	Eval/AdvUniformCost	worker/Epoch	worker/Time
18	1520000	1.5	0.014117749	-22.071997	3.235481	-263.6386	1219.0	36.61112	0.16399391	2.7490314e-05	149.0	0.09070258	17.720879	3.6103792	0.0015298794	0.26010087	0.0114625	1.697099	-0.0050550993	6.1703043e-14	3.922654	6.7636623	-2.4427214	332.97662	-2.4333098	332.977	18.0	1171.8226
19	1600000	1.5	0.014253196	-21.067322	3.6249652	-255.45247	1219.0	37.82073	0.15738304	1.9681323e-05	149.0	0.08326248	17.945982	3.9695442	0.00109162	0.22387362	0.0084875	1.5777445	-0.0049433196	3.9975666e-14	3.7595565	6.0701513	-1.9569855	332.99515	-1.9558396	332.9952	19.0	1248.472
20	1680000	1.5	0.014367847	-20.461313	4.009466	-250.47275	1219.0	38.96883	0.15195374	1.23432055e-05	149.0	0.07621126	18.169647	4.3269944	0.0014270365	0.18805909	0.00865	1.4616208	-0.0050392165	7.7782437e-13	3.5980043	5.0157924	-3.464991	332.9163	-3.4815114	332.9148	20.0	1327.0176
21	1760000	1.5	0.014464887	-19.980045	4.495284	-240.96666	1219.0	41.95551	0.14408259	1.1674076e-05	149.0	0.081445485	18.586382	4.835705	0.00177653	0.23343565	0.022325	1.5800422	0.0076515335	8.60769e-12	3.9505281	5.2732267	-4.084341	332.8292	-4.04895	332.83392	21.0	1405.0073
22	1840000	1.5	0.014547037	-19.477024	4.655282	-251.35483	1219.0	38.914364	0.16259845	1.0932521e-05	122.0	0.038843572	18.398083	4.8200088	0.019925157	0.22453904	0.0386625	0.70400715	0.020012604	1.9158215e-05	2.843332	5.3449903	-247.6279	136.7968	-246.73756	136.40312	22.0	1476.5239
23	1920000	1.5	0.014616577	-20.272259	4.5958347	-270.4915	1219.0	36.376823	0.1889628	1.613753e-05	106.0	0.03096076	18.246769	4.727466	0.015521401	0.220396	0.060675	0.56148463	0.010485699	3.0894007e-05	2.367563	9.157179	-239.00981	118.36592	-238.9472	118.13561	23.0	1545.2682
24	2000000	1.5	0.014675439	-21.479479	4.909628	-275.7702	1219.0	33.044968	0.1977017	1.1375485e-05	2.0	-0.097401574	18.012527	4.513612	0.030079212	0.22054888	0.0947375	-1.9268906	0.043857288	8.2786595e-05	2.5772161	14.002217	-293.42792	57.93854	-293.2618	57.512028	24.0	1589.9243
25	2080000	1.5	0.014725265	-22.44431	4.2081537	-299.9657	1219.0	23.141787	0.22573085	1.6382899e-05	1.0	-0.2060488	17.100292	3.3526175	0.032232173	0.22064638	0.1001375	-3.894926	0.05292735	0.0002146941	4.9017725	29.781128	-334.92313	24.598902	-332.95993	24.790075	25.0	1635.8958
26	2160000	1.5	0.014767439	-24.411875	2.9353285	-325.285	1219.0	14.940461	0.2454606	2.4190591e-05	1.0	-0.22086114	16.332176	2.0242553	0.058164928	0.22073413	0.149775	-4.031395	0.08249848	0.0004196486	5.33469	46.449318	-368.89154	5.5884657	-369.43372	5.5916185	26.0	1680.4723
27	2240000	1.5	0.014803143	-26.656847	1.657918	-355.00632	1219.0	7.7707047	0.27670735	3.544431e-05	1.0	-0.21057545	15.649189	0.7752531	0.101523496	0.2207847	0.2469	-3.5863032	0.10528599	0.00074879057	4.390076	68.27027	-406.44907	2.3397267	-406.5742	2.3431258	27.0	1724.987
