Epoch	TotalEnvInteracts	worker/CostLimit	worker/noise	learner/VVals	learner/CostVVals	worker/EpRet	worker/EpLen	worker/EpCost	learner/LossQ	learner/LossQC	learner/StopIter	learner/LossPi	learner/Lagrangian	learner/QcRet	learner/KL	learner/Entropy	learner/ClipFrac	learner/LossQcPenalty	learner/LossVallina	learner/LossKLAdv	learner/LossVC	learner/LossV	Eval/NaturalReward	Eval/NaturalCost	Eval/AdvUniformReward	Eval/AdvUniformCost	worker/Epoch	worker/Time
0	80000	1.5	0.0	0.039949615	0.042098287	-1853.5184	1219.0	466.58203	2.1645381	0.0055439253	5.0	9.3956175	48.07256	36.559658	0.01601456	0.9164314	0.239075	460.8379	-0.0051136464	1.8242238e-06	1382.5276	20441.86	-1665.9965	466.60028	-1665.9641	466.59708	0.0	45.470043
1	160000	1.5	0.0	-59.934937	39.102646	-1685.2336	1219.0	463.3876	1.06091	0.00087886286	6.0	0.015868694	48.65868	39.343536	0.019243175	0.9145193	0.287425	0.7093561	-0.0005345316	1.3968443e-05	7.2229366	5646.149	-1464.6031	461.67828	-1464.528	461.66925	1.0	91.05033
2	240000	1.5	0.0023027735	-126.36611	39.201965	-1507.3647	1219.0	457.327	0.8531517	0.00031808848	6.0	-0.11094409	49.417675	39.091145	0.017198471	0.91372967	0.248225	-5.7600613	-0.0022350766	2.57151e-05	3.1288102	390.93546	-1283.3745	454.94727	-1283.1978	454.9314	2.0	137.09279
3	320000	1.5	0.004252031	-120.587875	38.988018	-1330.6105	1219.0	449.81644	0.8541466	0.0001420042	6.0	-0.2031881	49.9986	38.59805	0.016583918	0.91291034	0.272625	-10.515898	-0.0047518653	4.0298597e-05	3.5171564	379.8738	-1090.5963	442.0367	-1090.4296	442.06024	3.0	182.4203
4	400000	1.5	0.0059020403	-107.06195	38.448395	-1170.44	1219.0	438.33752	0.75606835	0.0001317365	6.0	-0.30499288	50.16868	37.751408	0.018914286	0.91160303	0.289025	-15.838808	-0.008156266	5.2520503e-05	5.875204	297.13074	-890.441	423.29733	-890.49036	423.38474	4.0	227.90904
5	480000	1.5	0.0072987443	-94.02912	37.545288	-1003.51044	1219.0	424.68124	0.7296018	0.000134358	6.0	-0.36631733	50.053516	36.639187	0.01791915	0.9097232	0.2900125	-18.975758	-0.011207173	5.7160156e-05	8.210251	295.12033	-696.1511	390.17773	-696.10126	390.1941	5.0	273.26227
6	560000	1.5	0.008481027	-80.17736	36.2398	-858.7601	1219.0	405.29953	0.6881587	0.0001461264	6.0	-0.43348515	49.335495	35.06179	0.015094819	0.9076711	0.2531	-22.164732	-0.013053885	5.2966152e-05	10.553027	233.8444	-530.90344	327.4391	-531.0455	327.51968	6.0	318.75958
7	640000	1.5	0.009481809	-68.31675	34.282593	-734.5204	1219.0	378.5688	0.62728083	0.00022395715	8.0	-0.49225938	47.817738	32.81172	0.01818812	0.9051915	0.2861625	-24.489096	-0.011411598	3.6911202e-05	12.764317	179.28786	-394.98492	166.40399	-394.96786	166.36282	7.0	364.69934
8	720000	1.5	0.010328949	-57.85617	31.162565	-610.58154	1219.0	335.2043	0.5245251	0.00023554303	12.0	-0.6158492	44.47236	29.126581	0.015458341	0.8991967	0.2180375	-28.420868	-0.012091566	1.336308e-05	16.288334	145.00345	-273.5859	47.681324	-273.54886	47.668236	8.0	411.2831
9	800000	1.5	0.011046043	-47.61317	25.63311	-510.90924	1219.0	259.4946	0.46757382	0.00029198796	133.0	-0.8178776	37.720863	22.679056	0.015106108	0.811099	0.1393625	-32.088833	-0.014251429	2.0581519e-08	20.406685	69.142685	-41.548653	329.8536	-42.049557	329.22195	9.0	483.30167
