Epoch	TotalEnvInteracts	worker/CostLimit	worker/noise	learner/VVals	learner/CostVVals	worker/EpRet	worker/EpLen	worker/EpCost	learner/LossQ	learner/LossQC	learner/StopIter	learner/LossPi	learner/Lagrangian	learner/QcRet	learner/KL	learner/Entropy	learner/ClipFrac	learner/LossQcPenalty	learner/LossVallina	learner/LossVC	learner/LossV	Eval/NaturalReward	Eval/NaturalCost	Eval/AdvUniformReward	Eval/AdvUniformCost	worker/Epoch	worker/Time
0	80000	1.5	0.0	0.044043947	-0.025230868	-1880.5641	1219.0	467.7595	2.2547498	0.007139218	5.0	9.433151	48.189274	36.613464	0.020049023	0.9164323	0.2983625	463.8225	-0.0029413379	1391.1873	21004.785	-1673.0168	466.334	-1672.9971	466.33572	0.0	43.186234
1	160000	1.5	0.0	-60.23182	39.529705	-1683.2698	1219.0	463.13687	1.031938	0.0015298768	5.0	-0.09261167	48.64227	39.342354	0.015293657	0.91466814	0.25255	-4.7786703	-0.0025089253	8.939597	5624.822	-1486.0319	462.0002	-1485.9116	461.9933	1.0	86.39832
2	240000	1.5	0.0023027735	-125.916565	39.11482	-1516.0292	1219.0	457.87378	0.92841464	0.0008538142	5.0	-0.07818965	49.476322	39.126575	0.015450833	0.913845	0.2433125	-4.1073837	-0.0015120393	3.5125437	413.88614	-1304.7031	455.96176	-1304.7546	455.97836	2.0	241.66614
3	320000	1.5	0.004252031	-121.13715	39.041756	-1357.8103	1219.0	450.82007	0.8553953	0.0005504664	5.0	-0.1928668	50.11037	38.697563	0.015572342	0.9131965	0.2429375	-10.010078	-0.0057216124	3.7344027	336.52127	-1123.744	445.41525	-1123.7606	445.42712	3.0	397.0126
4	400000	1.5	0.0059020403	-109.56824	38.65558	-1196.9446	1219.0	441.6919	0.82524604	0.00042746664	5.0	-0.2798882	50.5246	38.05036	0.015590436	0.91258615	0.2492625	-14.5884	-0.010524149	5.1368246	296.27963	-941.22595	429.4405	-941.01794	429.43872	4.0	552.75134
5	480000	1.5	0.0072987443	-96.27518	37.779514	-1048.1757	1219.0	428.67505	0.7937158	0.00036341595	6.0	-0.3361153	50.50244	36.992847	0.0206561	0.9119139	0.3226875	-17.583292	-0.009796523	7.970411	250.16714	-731.48413	400.04138	-731.34735	399.9814	5.0	708.5445
6	560000	1.5	0.008481027	-84.09191	36.71577	-885.02606	1219.0	409.9477	0.7034442	0.0003127791	6.0	-0.45106602	49.867332	35.52802	0.017079156	0.91082	0.27345	-23.272596	-0.012328464	11.961981	260.98907	-554.28546	341.83832	-554.31415	341.8459	6.0	864.3885
7	640000	1.5	0.009481809	-70.76392	34.86644	-750.51086	1219.0	384.2098	0.68276834	0.0003263262	7.0	-0.52981794	48.423653	33.378113	0.015073141	0.90863603	0.2506125	-26.540884	-0.013814426	16.755096	196.98026	-424.88608	202.95686	-425.04	203.10654	7.0	1020.0781
8	720000	1.5	0.010328949	-59.718964	32.61654	-635.2395	1219.0	346.55798	0.5908227	0.0002830374	11.0	-0.75537455	45.7143	30.22409	0.016148487	0.9033347	0.2461125	-35.69881	-0.012776276	22.996521	142.1019	-307.9217	45.382244	-307.91113	45.316303	8.0	1176.8209
9	800000	1.5	0.011046043	-49.796906	28.012156	-532.5722	1219.0	279.49387	0.50424826	0.00041645594	91.0	-1.0096066	39.856964	24.53191	0.015079235	0.84104353	0.1573375	-41.65529	-0.016203735	33.40296	79.04514	-77.0203	297.59848	-77.9139	296.8042	9.0	1339.4642
