Epoch	TotalEnvInteracts	worker/CostLimit	worker/noise	learner/VVals	learner/CostVVals	worker/EpRet	worker/EpLen	worker/EpCost	learner/LossQ	learner/LossQC	learner/StopIter	learner/LossPi	learner/Lagrangian	learner/QcRet	learner/KL	learner/Entropy	learner/ClipFrac	learner/LossQcPenalty	learner/LossVallina	learner/LossVC	learner/LossV	Eval/NaturalReward	Eval/NaturalCost	Eval/AdvUniformReward	Eval/AdvUniformCost	worker/Epoch	worker/Time
0	80000	1.5	0.0	0.039949615	0.042098287	-1853.5184	1219.0	466.58203	2.1645381	0.0055439253	5.0	9.3956175	48.07256	36.559658	0.016106138	0.91643137	0.2404375	460.83795	-0.0050652125	1382.5276	20441.86	-1665.4205	466.58392	-1665.4591	466.58945	0.0	43.573112
1	160000	1.5	0.0	-59.92442	39.09565	-1682.8107	1219.0	463.01694	1.0162132	0.0009013271	5.0	0.0098264385	48.620037	39.316063	0.015272322	0.9148026	0.239625	0.3381699	-0.0035193886	7.2666283	5633.367	-1483.66	462.25064	-1483.6991	462.2528	1.0	87.04701
2	240000	1.5	0.0023027735	-126.48702	39.246864	-1517.374	1219.0	458.27316	0.88772184	0.00034254414	6.0	-0.10347391	49.517967	39.151615	0.018217564	0.9134607	0.28285	-5.369617	-0.0012932774	2.9495668	400.45804	-1288.1046	455.23642	-1288.2184	455.22437	2.0	243.39757
3	320000	1.5	0.004252031	-121.14223	39.008865	-1333.0057	1219.0	449.6305	0.8016512	0.0001487837	6.0	-0.20949736	49.98931	38.605595	0.016806765	0.9119529	0.2741	-10.872685	-0.004681411	3.5901167	373.81973	-1094.7292	442.31677	-1094.697	442.32513	3.0	401.08908
4	400000	1.5	0.0059020403	-107.198685	38.356655	-1170.6317	1219.0	438.00656	0.7662897	0.00013326283	6.0	-0.28654602	50.132347	37.720524	0.017350843	0.91061777	0.2854	-14.938125	-0.008598181	5.8359423	303.17453	-895.7841	423.89682	-895.66785	423.94772	4.0	557.4612
5	480000	1.5	0.0072987443	-94.265205	37.626072	-1011.5801	1219.0	425.1373	0.72875535	0.00015806107	6.0	-0.36198178	50.11787	36.70464	0.017771304	0.90970427	0.2805625	-18.762238	-0.010464126	6.9250126	286.62164	-705.8825	392.3173	-706.1136	392.41595	5.0	714.30963
6	560000	1.5	0.008481027	-80.751976	36.12732	-867.3703	1219.0	406.44894	0.7134948	0.00018024638	6.0	-0.3679801	49.478737	35.16018	0.015405167	0.9086961	0.238725	-18.890902	-0.011979984	9.054487	223.82275	-542.99866	333.768	-543.01117	333.73734	6.0	870.7736
7	640000	1.5	0.009481809	-69.07212	34.36265	-745.23114	1219.0	381.77917	0.6408582	0.00021418152	8.0	-0.43286422	48.178703	33.10134	0.017665595	0.90651697	0.2804625	-21.716383	-0.011376128	10.991829	180.5079	-405.80765	182.0106	-405.76532	182.07187	7.0	1028.9135
8	720000	1.5	0.010328949	-58.70998	31.480425	-626.08234	1219.0	341.24536	0.559054	0.00030731718	11.0	-0.56569624	45.09273	29.659906	0.015061493	0.9008456	0.211175	-26.476381	-0.013173773	14.736525	135.7633	-291.43607	45.975952	-291.76514	46.06471	8.0	1186.0334
9	800000	1.5	0.011046043	-49.035946	26.785025	-524.24854	1219.0	272.95853	0.47109374	0.0004242502	99.0	-0.82852477	39.099037	23.797997	0.015053003	0.83210456	0.15495	-33.706852	-0.014583415	21.302729	80.57209	-53.44657	319.0838	-53.631012	319.04626	9.0	1351.7944
